corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
U30000,,0,1,0.003,29952,361043,18999,227988,12.27160345486164,nan,7.361572265625,88.3388671875,1536.697591187096,5e-05,2.3712985515594482,3.5042786598205566,bcce622984e5,8cf3e8390176,12.34843585354805,12.44391237745285,0.0006316121901152693,1,M,7993152,9582336,1.105181875529203e-05,9.218928159845365e-06,30000,0.0002453857421875,0.9984,,,,,,
U30000,,0,1,0.003,50816,612242,24536,294432,12.050257826414109,nan,13.009765625,156.1171875,2040.7734114006043,0.00025,2.418577194213867,6.23245906829834,bcce622984e5,8cf3e8390176,12.10887226937294,12.261297592735291,0.0007743723508314313,1,M,7993152,9582336,1.9531367287898442e-05,1.6292184651007855e-05,30000,0.00043365885416666667,1.6938666666666666,,,,,,
U30000,,0,1,0.003,86272,1039177,28310,339720,11.972551584506036,nan,6.08837890625,73.060546875,1953.243357747555,0.0003,2.3687167167663574,10.232905149459839,bcce622984e5,8cf3e8390176,12.04650792253971,12.17129146618843,0.00045920169551395265,1,M,7993152,9582336,9.14039253538529e-06,7.624502717813276e-06,30000,0.00020294596354166668,2.8757333333333333,,,,,,
U30000,,0,1,0.003,146304,1762524,29767,357204,11.960212194256783,nan,6.732666015625,80.7919921875,2299.0156825846198,0.0003,2.3764052391052246,16.346672534942627,bcce622984e5,8cf3e8390176,12.025869849128723,12.184025217819213,0.0004703194813048006,1,M,7993152,9582336,1.0107651172841453e-05,8.431346196532871e-06,30000,0.00022442220052083334,4.8768,,,,,,
U30000,,0,1,0.003,248064,2988599,29989,359868,11.90029568400383,nan,9.678466796875,116.1416015625,3217.854642164326,0.00035,2.395263910293579,25.81134295463562,bcce622984e5,8cf3e8390176,11.973053718791007,12.177322307538986,0.0005668745206575744,1,M,7993152,9582336,1.453013799343488e-05,1.2120385004502033e-05,30000,0.0003226155598958333,8.2688,,,,,,
U30000,,0,1,0.003,420608,5066718,30000,360000,11.782593755984307,nan,25.67578125,308.109375,6371.504306793213,0.00045,2.3909356594085693,41.12168741226196,bcce622984e5,8cf3e8390176,11.858316820952892,12.27611770439148,0.0011,1,M,7993152,9582336,3.854666782265619e-05,3.2153889719584034e-05,30000,0.000855859375,14.020266666666666,,,,,,
U30000,,0,1,0.003,713216,8590941,30000,360000,10.443121057250499,nan,456.67578125,5480.109375,43143.97890520096,0.0002,2.269941806793213,66.32086825370789,bcce622984e5,8cf3e8390176,10.54417898168087,12.9736052318573,0.015466666666666667,1,M,7993152,9582336,0.0006856005459423266,0.000571897017073916,30000,0.015222526041666667,23.773866666666667,,,,,,
U30000,,0,1,0.003,999936,12045013,30000,360000,5.325520811027102,nan,11490.67578125,137888.109375,195141.30198148265,0.0,1.9390336275100708,93.20416259765625,bcce622984e5,8cf3e8390176,5.396775360395703,15.13921095175743,0.38326666666666664,1,M,7993152,9582336,0.01725078033984591,0.014389821999040734,30000,0.38302252604166664,33.3312,,,,,,
