corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
U10000,,0,1,0.0003,29952,361043,9513,114156,11.376379204397201,nan,26.677490234375,320.1298828125,5898.62025198176,0.00015,2.321404457092285,3.936607599258423,b2f56ecef4c4,0ef1f20a3e31,11.46136127245903,12.589861456894875,0.003048460002102386,1,L,31524864,34350080,1.0154837870593193e-05,9.319625538353914e-06,10000,0.0026677490234375,2.9952,,,,,,
U10000,,0,1,0.0003,50816,612242,9936,119232,10.523282724540234,nan,56.57421875,678.890625,13323.76595608101,0.0002,2.3072633743286133,7.198394060134888,b2f56ecef4c4,0ef1f20a3e31,10.59279945175171,12.857540677428245,0.005938003220611917,1,L,31524864,34350080,2.1535084972928036e-05,1.9763873184574824e-05,10000,0.005657421875,5.0816,,,,,,
U10000,,0,1,0.0003,86272,1039177,9999,119988,9.182277209134101,nan,850.558837890625,10206.7060546875,26067.525391196345,0.00035,2.1995630264282227,11.518559694290161,b2f56ecef4c4,0ef1f20a3e31,9.279615617961884,13.03153076529503,0.0853085308530853,1,L,31524864,34350080,0.00032376685446406685,0.0002971377666278361,10000,0.0850558837890625,8.6272,,,,,,
U10000,,0,1,0.0003,146304,1762524,10000,120000,3.6687998077795654,nan,7102.55859375,85230.703125,81024.72159270197,0.0002,1.7075239419937134,18.026698350906372,b2f56ecef4c4,0ef1f20a3e31,3.7705620845464245,13.38603122422695,0.7105,1,L,31524864,34350080,0.002703602563519386,0.002481237398137064,10000,0.710255859375,14.6304,,,,,,
U10000,,0,1,0.0003,248064,2988611,10000,120000,0.07201925244167359,nan,9983.55859375,119802.703125,117522.41984971013,0.00015,1.2933413982391357,27.942677974700928,b2f56ecef4c4,0ef1f20a3e31,0.07761720157872536,13.968466272908449,0.9986,1,L,31524864,34350080,0.0038002607441859227,0.003487697936220236,10000,0.998355859375,24.8064,,,,,,
U10000,,0,1,0.0003,420608,5066796,10000,120000,0.004832156330059415,nan,9997.55859375,119970.703125,118593.53048539652,0.0003,1.2534446716308594,44.007563829422,b2f56ecef4c4,0ef1f20a3e31,0.005222313684521705,14.50343722243309,1.0,1,L,31524864,34350080,0.003805589871061775,0.003492588754524007,10000,0.999755859375,42.0608,,,,,,
U10000,,0,1,0.0003,713216,8591082,10000,120000,0.0011097068009479022,nan,9997.55859375,119970.703125,118828.12692208175,0.00015,1.2243969440460205,70.15849256515503,b2f56ecef4c4,0ef1f20a3e31,0.001184162354835753,15.124739113098382,1.0,1,L,31524864,34350080,0.003805589871061775,0.003492588754524007,10000,0.999755859375,71.3216,,,,,,
U10000,,0,1,0.0003,1209472,14568994,10000,120000,0.00030025772571317603,nan,9997.55859375,119970.703125,119089.16667439039,0.00025,1.2393893003463745,113.46243786811829,b2f56ecef4c4,0ef1f20a3e31,0.00031752074513840894,15.97248144452572,1.0,1,L,31524864,34350080,0.003805589871061775,0.003492588754524007,10000,0.999755859375,120.9472,,,,,,
U10000,,0,1,0.0003,2050944,24703576,10000,120000,9.137631236073034e-05,nan,9997.55859375,119970.703125,119290.86459195317,0.0002,1.2336243391036987,185.88793468475342,b2f56ecef4c4,0ef1f20a3e31,9.519950662656157e-05,17.017081045907737,1.0,1,L,31524864,34350080,0.003805589871061775,0.003492588754524007,10000,0.999755859375,205.0944,,,,,,
U10000,,0,1,0.0003,3477760,41893019,10000,120000,3.18057218488741e-05,nan,9997.55859375,119970.703125,119430.93184980565,0.0,1.231111764907837,308.4904341697693,b2f56ecef4c4,0ef1f20a3e31,3.265462165892387e-05,18.393451901721953,1.0,1,L,31524864,34350080,0.003805589871061775,0.003492588754524007,10000,0.999755859375,347.776,,,,,,
U10000,,0,1,0.0003,5897216,71037383,10000,120000,1.721933911050627e-05,nan,9997.55859375,119970.703125,119482.51285167577,0.00015,1.227624535560608,515.3753755092621,b2f56ecef4c4,0ef1f20a3e31,1.7700289910607267e-05,19.715830721807478,1.0,1,L,31524864,34350080,0.003805589871061775,0.003492588754524007,10000,0.999755859375,589.7216,,,,,,
U10000,,0,1,0.0003,10000000,120461753,10000,120000,7.323799309337602e-06,nan,9997.55859375,119970.703125,119646.56184126173,0.00035,1.2132238149642944,864.5957171916962,b2f56ecef4c4,0ef1f20a3e31,7.558960048375667e-06,22.00322806584388,1.0,1,L,31524864,34350080,0.003805589871061775,0.003492588754524007,10000,0.999755859375,1000.0,,,,,,
