corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
U100000,,0,1,0.0003,29952,361043,25878,310536,12.186145113592147,nan,5.68212890625,68.185546875,1936.8072147117618,0.0003,2.382014513015747,3.9336860179901123,b2f56ecef4c4,b8a3013e2f51,12.246980034914017,12.246720329999924,0.0004637143519591931,1,L,31524864,34350080,2.162913276168297e-06,1.98501857564815e-06,100000,5.68212890625e-05,0.29952,,,,,,
U100000,,0,1,0.0003,50816,612242,39828,477936,12.166525329928398,nan,10.2763671875,123.31640625,2238.120799536515,0.0002,2.421750545501709,7.1994733810424805,b2f56ecef4c4,b8a3013e2f51,12.20262852973461,12.23494214963913,0.0005021592849251782,1,L,31524864,34350080,3.911718897502619e-06,3.589988909778376e-06,100000,0.000102763671875,0.50816,,,,,,
U100000,,0,1,0.0003,86272,1039177,57841,694092,12.14533549026966,nan,1.878662109375,22.5439453125,2272.2089999541768,5e-05,2.3760273456573486,11.837541580200195,b2f56ecef4c4,b8a3013e2f51,12.172830270662308,12.208173323631287,0.0002766203903805259,1,L,31524864,34350080,7.151163384083116e-07,6.562996450808848e-07,100000,1.878662109375e-05,0.86272,,,,,,
U100000,,0,1,0.0003,146304,1762524,76686,920232,12.065293686137199,nan,13.27783203125,159.333984375,2679.9164681964885,0.00025,2.39031982421875,18.727380990982056,b2f56ecef4c4,b8a3013e2f51,12.111220610952378,12.134723302030563,0.000417286075685262,1,L,31524864,34350080,5.054232252199407e-06,4.638533138059649e-06,100000,0.0001327783203125,1.46304,,,,,,
U100000,,0,1,0.0003,248064,2988574,91595,1099140,12.020704800748826,nan,9.637939453125,115.6552734375,2599.1453588440418,0.00035,2.4083809852600098,29.0717716217041,b2f56ecef4c4,b8a3013e2f51,12.09303020029068,12.08816687784195,0.00034936404825590915,1,L,31524864,34350080,3.668700154820652e-06,3.366957906284352e-06,100000,9.637939453125e-05,2.48064,,,,,,
U100000,,0,1,0.0003,420608,5066646,98447,1181364,11.995308848485946,nan,19.965087890625,239.5810546875,2224.2867687220096,0.0004,2.400930404663086,45.494328022003174,b2f56ecef4c4,b8a3013e2f51,12.06817343506813,12.057191496896744,0.0004469409936310908,1,L,31524864,34350080,7.599749032620727e-06,6.974686949419041e-06,100000,0.00019965087890625,4.20608,,,,,,
U100000,,0,1,0.0003,713216,8591225,99910,1198920,11.985567884221076,nan,7.60791015625,91.294921875,2328.7523889141085,0.0004,2.3589746952056885,72.1887001991272,b2f56ecef4c4,b8a3013e2f51,12.065674091696739,12.043478043270111,0.00032028825943349016,1,L,31524864,34350080,2.8959656059103063e-06,2.6577790175452285e-06,100000,7.60791015625e-05,7.13216,,,,,,
U100000,,0,1,0.0003,1209472,14569179,99999,1199988,11.96264119501114,nan,19.586181640625,235.0341796875,3647.201798256874,0.00015,2.4089832305908203,115.94590210914612,b2f56ecef4c4,b8a3013e2f51,12.067741894044875,12.045909314012528,0.00044000440004400045,1,L,31524864,34350080,7.455517641170474e-06,6.842318262068094e-06,100000,0.00019586181640625,12.09472,,,,,,
U100000,,0,1,0.0003,2050944,24704508,100000,1200000,11.957674622187614,nan,26.5859375,319.03125,3831.5626554489136,0.0004,2.3880109786987305,188.78577828407288,b2f56ecef4c4,b8a3013e2f51,12.077865999298096,12.041241831493378,0.00051,1,L,31524864,34350080,1.011998814649922e-05,9.287642124850946e-06,100000,0.000265859375,20.50944,,,,,,
U100000,,0,1,0.0003,3477760,41895239,100000,1200000,11.524795792777539,nan,318.5859375,3823.03125,40352.83534049988,0.0002,2.3502914905548096,310.9210512638092,b2f56ecef4c4,b8a3013e2f51,11.633488518257142,12.266355448007584,0.00343,1,L,31524864,34350080,0.00012127034869999757,0.00011129613817493292,100000,0.003185859375,34.7776,,,,,,
U100000,,0,1,0.0003,5897216,71040298,100000,1200000,0.035111128630791064,nan,99889.5859375,1198675.03125,1176509.801639628,0.0002,1.617846131324768,516.4767825603485,b2f56ecef4c4,b8a3013e2f51,0.0378395242963903,14.462396692490577,0.99914,1,L,31524864,34350080,0.03802316264552323,0.034895843947088334,100000,0.998895859375,58.97216,,,,,,
U100000,,0,1,0.0003,10000000,120465458,100000,1200000,0.0024384687240320544,nan,99974.5859375,1199695.03125,1181827.9555548262,0.0004,1.4124406576156616,884.2418534755707,b2f56ecef4c4,b8a3013e2f51,0.0029215141517760458,14.771253118437528,0.99999,1,L,31524864,34350080,0.03805551805869805,0.034925538201075516,100000,0.999745859375,100.0,,,,,,
