corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
CAPPED,0.5,16,1,0.0003,35712,1002054,16528,198336,11.737194509525299,nan,7.96484375,95.578125,1931.6499468696593,0.00015,5.101383686065674,4.447754859924316,5a734661cf8a,3c69493e09f8,11.767678512434959,12.303558380365372,0.0007260406582768635,1,M,7993152,9586944,1.1957501246066633e-05,9.969613361671873e-06,,,,30,300000,1,-0.000244140625,300000000,1000000
CAPPED,0.5,16,1,0.0003,80640,2262035,28598,343176,10.620683183250428,nan,35.01806640625,420.216796875,9706.851898074532,0.0002,5.039382457733154,8.977600812911987,5a734661cf8a,3c69493e09f8,10.704324789953231,12.588138763189315,0.0014686341702216939,1,M,7993152,9586944,5.257210132811187e-05,4.3832194792730614e-05,,,,30,300000,271,0.08093667118311808,300000000,1000000
CAPPED,0.5,16,1,0.0003,182016,5105143,48504,582048,8.143084002159089,nan,1164.158203125,13969.8984375,28125.133346234274,0.0001,4.947791576385498,18.06691575050354,5a734661cf8a,3c69493e09f8,8.279511668504998,12.553686053729058,0.024245423057892134,1,M,7993152,9586944,0.001747733364447467,0.0014571795180507992,,,,30,300000,1180,0.7768745034427966,300000000,1000000
CAPPED,0.5,16,1,0.0003,411008,11527390,93082,1116984,5.879535090606734,nan,8223.27490234375,98679.298828125,127939.68791555738,0.00035,4.959118366241455,37.3292281627655,5a734661cf8a,3c69493e09f8,6.075370158683248,12.599246570158005,0.0885885563266797,1,M,7993152,9586944,0.01234548008446793,0.010293092233367067,,,,30,300000,3363,0.8329405159316459,300000000,996766
CAPPED,0.5,16,1,0.0003,928128,26032164,208492,2501904,7.994385666428222,nan,27697.0986328125,332365.18359375,428791.3546856382,0.00035,4.925602436065674,79.827880859375,5a734661cf8a,3c69493e09f8,8.200061851626653,12.867099319529533,0.13308903938760241,1,M,7993152,9586944,0.041581241491935844,0.03466852248159059,,,,30,300000,9820,0.5135033135501528,300000000,990542
CAPPED,0.5,16,1,0.0003,2096512,58799614,420486,5045832,10.147920786959148,nan,61060.34228515625,732724.107421875,879372.3859613625,0.00055,4.9476494789123535,174.1405336856842,5a734661cf8a,3c69493e09f8,10.397063820711384,12.874312366008759,0.14545787493519405,1,M,7993152,9586944,0.09166898207639176,0.07642937180209616,,,,30,300000,25161,0.36373185396980945,300000000,975496
CAPPED,0.5,16,1,0.0003,4735488,132817326,731756,8781072,11.792304295388897,nan,86214.3486328125,1034572.18359375,1201787.1139330044,0.0004,4.956717491149902,382.89453315734863,5a734661cf8a,3c69493e09f8,12.081873487195447,12.760894178843499,0.11806257823646134,1,M,7993152,9586944,0.1294323170125815,0.10791469978272013,,,,30,300000,63073,0.18164034243431224,300000000,937484
CAPPED,0.5,16,1,0.0003,10696448,300003159,971481,11657772,12.270767797690928,nan,76139.82202148438,913677.8642578125,973087.7929953639,0.00025,5.052439212799072,849.9907286167145,5a734661cf8a,3c69493e09f8,12.437323317780345,12.410200042128563,0.07861913923175029,1,M,7993152,9586944,0.11430758032098132,0.09530439149929451,,,,30,300000,164860,0.06234229635182882,300000000,836042
