corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
RAW,0.5,16,1,0.0003,35712,1002054,16528,198336,11.587704494094849,nan,20.96484375,251.578125,3066.8747295696257,0.00035,5.094217777252197,4.317119359970093,5a734661cf8a,9cdcf6e0691e,11.641749634139538,12.439970220828057,0.0015125847047434656,1,L,31524864,34358272,7.980308019726905e-06,7.322199585590335e-06,,,,30,300000,1,0.999755859375,300000000,
RAW,0.5,16,1,0.0003,80640,2262035,28598,343176,10.147234700864553,nan,223.01806640625,2676.216796875,13810.365245273639,0.00015,5.028491020202637,9.416719675064087,5a734661cf8a,9cdcf6e0691e,10.248147553733586,12.751122494769096,0.008042520455975942,1,L,31524864,34358272,8.489225510616002e-05,7.789148409078897e-05,,,,30,300000,271,0.47577061952260147,300000000,
RAW,0.5,16,1,0.0003,182016,5105143,48504,582048,6.003047015304878,nan,3091.158203125,37093.8984375,61859.71701083337,0.0001,4.869333744049072,19.25206995010376,5a734661cf8a,9cdcf6e0691e,6.097660073563727,12.670587962269783,0.06397410522843477,1,L,31524864,34358272,0.001176655304127561,0.0010796206059926414,,,,30,300000,1180,0.9955185712394068,300000000,
RAW,0.5,16,1,0.0003,410880,11524536,80843,970116,3.5045150259053712,nan,11629.262939453125,139551.1552734375,193259.12334797898,0.0001,4.798918724060059,39.71610450744629,5a734661cf8a,9cdcf6e0691e,3.559657876932892,12.692447426486016,0.14409410833343642,1,L,31524864,34358272,0.00442670126264264,0.0040616465017052515,,,,30,300000,2714,0.9993873995371223,300000000,
RAW,0.5,16,1,0.0003,928128,26032025,132695,1592340,2.438634297669347,nan,26722.603759765625,320671.2451171875,392034.5495273213,0.0002,4.686084747314453,84.14504408836365,5a734661cf8a,9cdcf6e0691e,2.4876673109344325,12.66251852223873,0.20162779305927125,1,L,31524864,34358272,0.010172010420637739,0.009333159860809865,,,,30,300000,5468,0.999755859375,300000000,
RAW,0.5,16,1,0.0003,2096512,58801209,213412,2560944,1.8869881226640879,nan,43829.8974609375,525958.76953125,587048.161059089,0.00035,4.693493366241455,181.25106048583984,5a734661cf8a,9cdcf6e0691e,1.9692255966411354,12.529460461950302,0.20562105223698762,1,L,31524864,34358272,0.01668393460892488,0.015308068156956496,,,,30,300000,10129,0.9984724157971542,300000000,
RAW,0.5,16,1,0.0003,4735616,132815933,332441,3989292,1.6058428515100445,nan,59032.837646484375,708394.0517578125,744686.8943431331,0.00015,4.67079496383667,397.7269377708435,5a734661cf8a,9cdcf6e0691e,1.653671877759737,12.4917863301754,0.17781801883642512,1,L,31524864,34358272,0.022470962975694755,0.020617860285808684,,,,30,300000,18171,0.9928217335701461,300000000,
RAW,0.5,16,1,0.0003,10696320,300001987,494409,5932908,1.4027794732827144,nan,68026.29467773438,816315.5361328125,858981.5711753123,0.0002,4.697377681732178,883.6844170093536,5a734661cf8a,9cdcf6e0691e,1.4867066313081205,12.340412109327316,0.137835274034251,1,L,31524864,34358272,0.02589433965941336,0.023758922920594276,,,,30,300000,31962,0.9771352473982776,300000000,
