corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
RAW,0.5,16,2,0.0003,35712,1002175,16510,198120,11.69548585726261,nan,11.96923828125,143.630859375,2233.6175723099714,0.00035,5.066657066345215,3.9595510959625244,5a734661cf8a,17dab447d16e,11.73312060455799,12.34650994286537,0.0009691096305269534,1,M,7993152,9586944,1.79692390905365e-05,1.49819232672059e-05,,,,30,300000,0,,300000000,
RAW,0.5,16,2,0.0003,80640,2261705,28348,340176,10.579911910836696,nan,33.0791015625,396.94921875,10188.73365361271,0.00025,5.029056549072266,8.618072986602783,5a734661cf8a,17dab447d16e,10.666289600355626,12.547164904975892,0.0014110342881332016,1,M,7993152,9586944,4.966116229867767e-05,4.140518800881699e-05,,,,30,300000,277,0.08278835034972924,300000000,
RAW,0.5,16,2,0.0003,182016,5104542,48215,578580,8.062049932210595,nan,1193.228759765625,14318.7451171875,29179.456738337634,0.0003,4.947450637817383,17.905874252319336,5a734661cf8a,17dab447d16e,8.196681883071735,12.559312220835686,0.024992222337446853,1,M,7993152,9586944,0.0017913765579820702,0.001493567201100528,,,,30,300000,1174,0.7731800501756815,300000000,
RAW,0.5,16,2,0.0003,411008,11527477,80822,969864,4.54537146768247,nan,6186.26806640625,74235.216796875,107587.66081105825,0.0003,4.78747034072876,37.65333938598633,5a734661cf8a,17dab447d16e,4.640785774404269,12.648204870295524,0.07678602360743363,1,M,7993152,9586944,0.009287352072983849,0.007743366060850569,,,,30,300000,2739,0.9953746983673329,300000000,
RAW,0.5,16,2,0.0003,928256,26034033,132811,1593732,3.0284389576358923,nan,15945.575439453125,191346.9052734375,248465.2179453093,0.00025,4.7431864738464355,80.34603810310364,5a734661cf8a,17dab447d16e,3.1027577706097085,12.70009194574356,0.12030629992997569,1,M,7993152,9586944,0.02393885481890467,0.019959113693940166,,,,30,300000,5506,0.9968499385613422,300000000,
RAW,0.5,16,2,0.0003,2096512,58800742,212944,2555328,2.391101599770528,nan,27439.01171875,329268.140625,389859.2641645521,0.00025,4.721778869628906,175.57538509368896,5a734661cf8a,17dab447d16e,2.4884538800593994,12.57120987484455,0.12909966939664888,1,M,7993152,9586944,0.041193779453337055,0.034345474493749,,,,30,300000,10121,0.9803901840464752,300000000,
RAW,0.5,16,2,0.0003,4735360,132815534,331432,3977184,1.9711391621280006,nan,38090.083984375,457081.0078125,501271.24695598875,0.00035,4.707212924957275,387.6176428794861,5a734661cf8a,17dab447d16e,2.0613556763362997,12.387418150186539,0.1151699292765937,1,M,7993152,9586944,0.05718407554522922,0.04767744630744688,,,,30,300000,18157,0.9653338733640952,300000000,
RAW,0.5,16,2,0.0003,10696192,300002541,493308,5919696,1.7875067871054766,nan,46013.5634765625,552162.76171875,604897.6922351283,0.00045,4.671144008636475,860.0981504917145,5a734661cf8a,17dab447d16e,1.9038294546851626,12.405955549192429,0.09351966722615486,1,M,7993152,9586944,0.0690794772473675,0.05759528393185044,,,,30,300000,31974,0.9126851143947035,300000000,
