corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown
Z05_n64,0.5,64,3,0.0003,29952,2277807,1358,16296,1.0157319757541514,0.35480948147978575,60.66845703125,728.021484375,1935.0238886470283,0.0002,6.032418727874756,4.678773403167725,4d99018688fa,6023fb2f08e9,1.0515850699690938,12.710133575034142,0.04491899852724595,1
Z05_n64,0.5,64,3,0.0003,50816,3864437,1933,23196,0.7581069037486782,0.2960042166348513,120.528076171875,1446.3369140625,3545.4983872428443,0.00025,6.014150142669678,8.439178943634033,4d99018688fa,6023fb2f08e9,0.7759654137381504,13.143675450730324,0.06259699948266943,1
Z05_n64,0.5,64,3,0.0003,86272,6560605,2719,32628,0.5976911165793308,0.24664083941912313,230.336181640625,2764.0341796875,5224.5363097743175,0.00025,6.014089584350586,13.927364587783813,4d99018688fa,6023fb2f08e9,0.6054739435340509,12.776908486926555,0.08495770503861713,1
Z05_n64,0.5,64,3,0.0003,146304,11126050,3840,46080,0.49339228110536903,0.20534099288773544,343.0625,4116.75,6933.239481453245,0.0004,5.995087146759033,22.30289912223816,4d99018688fa,6023fb2f08e9,0.5027967855504838,12.64662549341917,0.08958333333333333,1
Z05_n64,0.5,64,3,0.0003,248064,18864838,5412,64944,0.4147229535365534,0.17071910531133175,517.6787109375,6212.14453125,9303.749665194817,0.00035,6.020628929138184,35.590461015701294,4d99018688fa,6023fb2f08e9,0.4194729496088064,12.54338156645298,0.0958980044345898,1
