corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
CURATEDF,0.5,0,2,0.0003,83072,1000576,29141,349692,10.206052851616144,nan,170.885498046875,2050.6259765625,12844.469687432884,0.0004,2.231323480606079,7.317771673202515,b2ce10ecdabd,be4f96d77f67,10.280402348690034,12.609034443974496,0.006108232387358018,1,M,7993152,9582336,0.0002565478520316516,0.0002140006337246471,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.06343,7.675501585006714
CURATEDF,0.5,0,2,0.0003,187648,2259826,49489,593868,6.8456857088136305,nan,2151.917724609375,25823.0126953125,44430.36777670169,0.00035,1.8418833017349243,16.58990502357483,b2ce10ecdabd,be4f96d77f67,6.921206947445609,12.567533012461663,0.04372688880357251,1,M,7993152,9582336,0.0032306420164801694,0.0026948556902317454,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.421655,1.1028142765909434
CURATEDF,0.5,0,2,0.0003,423680,5103316,104348,1252176,4.735538119388772,nan,9905.5244140625,118866.29296875,159242.16493623704,0.00035,2.1592133045196533,36.35770225524902,b2ce10ecdabd,be4f96d77f67,4.829414310983307,12.575915328836441,0.09517192471345881,1,M,7993152,9582336,0.014871016210970341,0.012404730221185106,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.66081,0.7456991478167474
CURATEDF,0.5,0,2,0.0003,956800,11525059,207264,2487168,2.3074689005555817,nan,32284.3984375,387412.78125,488273.8474627586,0.0002,1.8800848722457886,79.50335931777954,b2ce10ecdabd,be4f96d77f67,2.35370700517213,13.024636214351654,0.1560087617724255,1,M,7993152,9582336,0.04846808633815546,0.04042988904271359,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.83499,0.3340860135052353
CURATEDF,0.5,0,2,0.0003,2160896,26032521,345042,4140504,1.5533630571941077,nan,57536.76123046875,690441.134765625,829897.9273595308,0.00025,1.7703715562820435,174.79195141792297,b2ce10ecdabd,be4f96d77f67,1.6030778328888864,13.112920822513104,0.16699706122732885,1,M,7993152,9582336,0.08637908234018632,0.0720535300333473,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.884305,0.11135958653688431
CURATEDF,0.5,0,2,0.0003,4881024,58800778,522618,6271416,1.2457550039447518,nan,79449.40771484375,953392.892578125,1094499.4372811322,0.0003,1.7426210641860962,387.6326048374176,b2ce10ecdabd,be4f96d77f67,1.2879366898242897,13.013313299417495,0.15226609110287054,1,M,7993152,9582336,0.11927621200974597,0.09949483013099572,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.907415,0.06306873877858743
CURATEDF,0.5,0,2,0.0003,11024384,132815010,723093,8677116,1.095776384818505,nan,93077.46362304688,1116929.5634765625,1266692.6551036057,0.00015,1.6453288793563843,862.4468996524811,b2ce10ecdabd,be4f96d77f67,1.1405468914413546,12.85768780670166,0.12896543044947192,1,M,7993152,9582336,0.13973580928732027,0.11656130232508675,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.917735,0.05049769640667364
CURATEDF,0.5,0,2,0.0003,24901760,300001013,894566,10734792,1.0110597451990668,nan,84926.60009765625,1019119.201171875,1204950.332541501,0.00025,1.6230958700180054,1935.5328006744385,b2ce10ecdabd,be4f96d77f67,1.046019887710919,12.423695858573913,0.09518023264912819,1,M,7993152,9582336,0.12749903932414586,0.10635394137419883,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.915205,0.023910872629843653
