corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
CURATEDF,0.5,0,1,0.0003,83072,1001257,29275,351300,8.47861734381169,nan,1091.852783203125,13102.2333984375,26528.5571354121,0.0002,2.2063074111938477,7.850223541259766,b2ce10ecdabd,959f7beac183,8.567907678241879,12.711924601244926,0.037540563620836895,1,L,31524864,34350080,0.0004156158579601644,0.00038143239836522944,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.28436,3.8354797225296497
CURATEDF,0.5,0,1,0.0003,187520,2259419,49600,595200,5.000057887002792,nan,5205.890625,62470.6875,95102.66747346362,0.00015,1.8166791200637817,17.69933319091797,b2ce10ecdabd,959f7beac183,5.057236397567678,12.70593163230419,0.1052016129032258,1,L,31524864,34350080,0.0019816322601740647,0.0018186475111557237,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.582135,0.09671953133447096
CURATEDF,0.5,0,1,0.0003,423552,5102709,104261,1251132,3.0834803023282693,nan,20281.545654296875,243378.5478515625,313086.5158226859,0.00025,2.031693458557129,38.64970684051514,b2ce10ecdabd,959f7beac183,3.135909656243152,12.733158946943282,0.19477081554943843,1,L,31524864,34350080,0.007720209287867586,0.00708523962248596,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.773065,0.28364069176837803
CURATEDF,0.5,0,1,0.0003,956800,11525385,207723,2492676,1.6363951775109442,nan,55711.286376953125,668535.4365234375,796644.4620536115,0.00015,1.7316021919250488,84.28128051757812,b2ce10ecdabd,959f7beac183,1.6581025386532122,12.967250929832458,0.26844403364095454,1,L,31524864,34350080,0.02120660810855322,0.019462412795645236,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.87422,0.09660850223666057
CURATEDF,0.5,0,1,0.0003,2160896,26031791,344921,4139052,1.171671896528101,nan,94167.79077148438,1130013.4892578125,1259036.043439908,0.00045,1.7376961708068848,186.19654273986816,b2ce10ecdabd,959f7beac183,1.2023366713099606,12.958794229507447,0.273256774739723,1,L,31524864,34350080,0.035845150331427676,0.032896968195061334,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.910035,0.04179858318949118
CURATEDF,0.5,0,1,0.0003,4881024,58800178,522255,6267060,0.9509895506856678,nan,123579.49633789062,1482953.9560546875,1586180.5166614982,0.0002,1.6346913576126099,407.55067586898804,b2ce10ecdabd,959f7beac183,0.9896472817167925,12.831805261468887,0.236870877253449,1,L,31524864,34350080,0.04704077251704202,0.04317177590429738,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.927675,0.021949366776505486
CURATEDF,0.5,0,1,0.0003,11025024,132815102,722246,8666952,0.8131096118152534,nan,137210.67041015625,1646528.044921875,1784535.260007831,0.00045,1.5600597858428955,901.8926248550415,b2ce10ecdabd,959f7beac183,0.8502706385858404,12.621602711844444,0.19022189115619886,1,L,31524864,34350080,0.052229505095466075,0.047933747022477824,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.93621,0.014403991494444199
CURATEDF,0.5,0,1,0.0003,24903168,300000660,894868,10738416,0.8005230881555009,nan,114215.5263671875,1370586.31640625,1591092.3079516958,0.0004,1.588434100151062,2013.3551032543182,b2ce10ecdabd,959f7beac183,0.8286396648499142,12.330713549256325,0.12787807810760918,1,L,31524864,34350080,0.043476359371645505,0.03990052763796329,,,,,,,,300000000,,CURATED,300,1.1174214588e-05,11878,0.930715,0.003413600133382715
