corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
FLAT,0.5,16,2,0.0003,35712,1002175,16510,198120,11.607873456926345,nan,17.96923828125,215.630859375,3146.9499245841507,0.00035,5.0591206550598145,4.40684700012207,b2ce10ecdabd,17dbc733b9a6,11.651005299904346,12.495019119763374,0.0013325257419745608,1,L,31524864,34358272,6.840025047372132e-06,6.275951810818658e-06,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.004425,10.649181768894195
FLAT,0.5,16,2,0.0003,80640,2261705,28348,340176,10.047533995177746,nan,231.0791015625,2772.94921875,14263.542926857996,0.0002,5.017547607421875,9.468208074569702,b2ce10ecdabd,17dbc733b9a6,10.15341872497797,12.657950100648403,0.00839565401439255,1,L,31524864,34358272,8.796070361318608e-05,8.070688824950219e-05,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.085305,7.215467964529991
FLAT,0.5,16,2,0.0003,182016,5104542,48215,578580,5.855711741358731,nan,3323.228759765625,39878.7451171875,65009.22186118208,0.0001,4.8854079246521,19.195279121398926,b2ce10ecdabd,17dbc733b9a6,5.951450014252029,12.641587356185912,0.06916934563932386,1,L,31524864,34358272,0.0012649934070195355,0.001160673770706149,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.503405,0.2803449459541589
FLAT,0.5,16,2,0.0003,411008,11527477,87189,1046268,3.241832677450037,nan,13825.713623046875,165908.5634765625,224985.0794746891,0.0001,4.829209804534912,39.45207643508911,b2ce10ecdabd,17dbc733b9a6,3.2970740076104783,12.71505592303276,0.15881590567617473,1,L,31524864,34358272,0.00526278443188724,0.004828780780260501,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.7365,0.06031711927941069
FLAT,0.5,16,2,0.0003,928256,26034033,156482,1877784,2.0650289686298575,nan,34897.79638671875,418773.556640625,515212.25819097983,0.00015,4.7677154541015625,83.56303453445435,b2ce10ecdabd,17dbc733b9a6,2.1041730263899763,12.78379056842327,0.2232589051775923,1,L,31524864,34358272,0.013283913188035483,0.012188434757156152,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.83276,0.01687341821053997
FLAT,0.5,16,2,0.0003,2096512,58800742,257199,3086388,1.5416187390878593,nan,59687.207275390625,716246.4873046875,807109.2943487638,0.00025,4.743592262268066,180.35583639144897,b2ce10ecdabd,17dbc733b9a6,1.6061467422999558,12.699246669054032,0.2323103900092924,1,L,31524864,34358272,0.022720050031133757,0.020846405992265487,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.87767,0.00585183320188662
FLAT,0.5,16,2,0.0003,4735360,132815534,398994,4787928,1.2921185232097974,nan,80447.58935546875,965371.072265625,1020005.7290019684,0.0003,4.731865406036377,395.07409954071045,b2ce10ecdabd,17dbc733b9a6,1.3341532114809758,12.573110703396797,0.20187020356195834,1,L,31524864,34358272,0.030622529323699067,0.028097195116961207,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.900985,0.005332572815066669
FLAT,0.5,16,2,0.0003,10696192,300002541,580972,6971664,1.113849761728149,nan,96161.1611328125,1153933.93359375,1225121.3876189233,0.00015,4.693652153015137,873.6920614242554,b2ce10ecdabd,17dbc733b9a6,1.186110984924204,12.559157728767396,0.16576186115681996,1,L,31524864,34358272,0.03660393058614781,0.033585330880253526,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.914635,0.00401555346720852
