corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
FLAT,0.5,16,2,0.003,35712,1002175,16510,198120,11.929027515568734,nan,4.96923828125,59.630859375,1739.788612931252,0.00045,5.063953876495361,2.9927828311920166,b2ce10ecdabd,ad7331ac2e46,11.957097515296937,12.62490144648552,0.0005451241671714113,1,S,2045568,2975280,2.9151247660796414e-05,2.0042100029240945e-05,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.00104,11.219059001922608
FLAT,0.5,16,2,0.003,80640,2261705,28348,340176,11.790783619155883,nan,7.0791015625,84.94921875,1760.2780845777506,0.00035,5.067543029785156,6.468748092651367,b2ce10ecdabd,ad7331ac2e46,11.8655850406456,12.455642124605179,0.0004938620008466206,1,S,2045568,2975280,4.152842572331988e-05,2.8551672027506656e-05,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.00066,11.1228026304245
FLAT,0.5,16,2,0.003,182016,5104542,48215,578580,11.629129315342903,nan,-0.771240234375,-9.2548828125,2771.515827639103,0.00015,5.057511329650879,13.53498649597168,b2ce10ecdabd,ad7331ac2e46,11.722786508424281,12.503037143945694,0.00022814476822565592,1,S,2045568,2975280,-4.52435842391942e-06,-3.110592217371138e-06,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.001795,10.719113672733307
FLAT,0.5,16,2,0.003,411008,11527477,80822,969864,6.48284092899369,nan,2561.26806640625,30735.216796875,55838.476546733844,0.0002,4.910135269165039,28.787473917007446,b2ce10ecdabd,ad7331ac2e46,6.568822814945317,13.715450037205219,0.03193437430402613,1,S,2045568,2975280,0.01502527258779713,0.010330193056409817,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.456175,0.5719579372536391
FLAT,0.5,16,2,0.003,928256,26034033,132811,1593732,3.9797039557166944,nan,8977.575439453125,107730.9052734375,157716.38186202952,0.00045,4.782451152801514,62.411328077316284,b2ce10ecdabd,ad7331ac2e46,4.079797322349886,13.577506185890734,0.06784076620159475,1,S,2045568,2975280,0.05266552139720484,0.036208661125486506,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.674825,0.02431851615232881
FLAT,0.5,16,2,0.003,2096512,58800742,375174,4502088,9.0520958644709,nan,10525.40478515625,126304.857421875,242694.67263564246,0.00015,5.063963890075684,138.0699062347412,b2ce10ecdabd,ad7331ac2e46,9.16029609599024,12.647438144159317,0.02829886932463337,1,S,2045568,2975280,0.06174561658271688,0.04245141883179902,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.19793,8.56229894822836
FLAT,0.5,16,2,0.003,4735360,132815534,616977,7403724,7.666221967893764,nan,20357.370849609375,244288.4501953125,375712.54547724,0.0001,5.035791873931885,307.2167317867279,b2ce10ecdabd,ad7331ac2e46,7.832843755451292,12.80404881989956,0.033239488668135114,1,S,2045568,2975280,0.11942328497283518,0.08210603714450825,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.350435,7.140339503288269
FLAT,0.5,16,2,0.003,10696192,300002541,831515,9978180,6.301763353430554,nan,32855.993408203125,394271.9208984375,513390.5606085715,0.00015,4.991711139678955,691.566822052002,b2ce10ecdabd,ad7331ac2e46,6.507239293701127,12.95881209449768,0.039757550976230134,1,S,2045568,2975280,0.19274447043483156,0.132515904687437,,,,,,,,300000000,,FLAT,100,2.243040821e-06,36566,0.51457,5.75759935683012
