corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
CURATEDF,0.5,0,1,0.003,83072,1001257,29275,351300,10.739905031008721,nan,91.852783203125,1102.2333984375,9463.729392678739,0.00035,2.3520193099975586,5.522035121917725,b2ce10ecdabd,1aef25a31df4,10.82942475676775,12.937897445249558,0.0033817250213492743,1,S,2045568,2972592,0.0005388397738122126,0.0003707987501942749,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.034125,8.284374656677246
CURATEDF,0.5,0,1,0.003,187520,2259419,49600,595200,6.503110566550921,nan,2674.890625,32098.6875,58747.89012073912,0.0001,2.0436153411865234,12.39493727684021,b2ce10ecdabd,1aef25a31df4,6.56982796196186,13.668827991366387,0.054173387096774196,1,S,2045568,2972592,0.015691821293645578,0.01079821499216845,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.4556,0.6579379496332258
CURATEDF,0.5,0,1,0.003,423552,5102709,82763,993156,4.4098158428191745,nan,7635.794189453125,91629.5302734375,135717.65254740772,5e-05,1.69474458694458,27.315561056137085,b2ce10ecdabd,1aef25a31df4,4.484420770778015,13.644160985469819,0.09250510493819702,1,S,2045568,2972592,0.04479417466123713,0.03082479205805489,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.643115,0.05259926604200155
CURATEDF,0.5,0,1,0.003,956800,11525385,135644,1627728,3.755653008316937,nan,11035.8837890625,132430.60546875,183026.5147162535,0.0002,1.575858235359192,60.37190628051758,b2ce10ecdabd,1aef25a31df4,3.838538596954962,13.35566237666607,0.08160331455869776,1,S,2045568,2972592,0.06474026063604339,0.04455054897165504,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.697915,0.02751799432898406
CURATEDF,0.5,0,1,0.003,2160896,26031791,384849,4618188,8.74451785646379,nan,14018.042724609375,168216.5126953125,280247.6113431786,0.00025,2.3111073970794678,134.4800159931183,b2ce10ecdabd,1aef25a31df4,8.84359326732099,12.722584131169318,0.03666892729356189,1,S,2045568,2972592,0.08223462270396902,0.05658916955145964,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.245055,8.286911029160022
CURATEDF,0.5,0,1,0.003,4881024,58800178,626586,7519032,7.660919155970961,nan,23312.02490234375,279744.298828125,382237.17708236165,0.0005,2.2267262935638428,300.01591873168945,b2ce10ecdabd,1aef25a31df4,7.793546228597983,12.745456353425979,0.03744896949500946,1,S,2045568,2972592,0.13675629401130884,0.09410786910148618,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.38197,7.156067389607429
CURATEDF,0.5,0,1,0.003,11025024,132815102,838345,10060140,6.56403203722857,nan,34074.325927734375,408891.9111328125,493003.5094677714,0.00015,2.157686233520508,673.4422743320465,b2ce10ecdabd,1aef25a31df4,6.695674496683479,12.777966505742073,0.0408888941903393,1,S,2045568,2972592,0.19989162478725347,0.13755399702778334,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.53255,5.943762976378203
CURATEDF,0.5,0,1,0.003,24903168,300000660,964803,11577636,5.561480582756847,nan,44186.452392578125,530237.4287109375,593266.5146622914,0.0002,2.105351686477661,1511.8341042995453,b2ce10ecdabd,1aef25a31df4,5.658111831132471,12.808265382099151,0.046042559983747976,1,S,2045568,2972592,0.25921280969928034,0.1783754476601355,,,,,,,,300000000,,CURATED,100,2.243040821e-06,36566,0.667825,4.853007419019938
