corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
FLAT,0.5,16,1,0.0003,35712,1002054,16528,198336,11.587704494094849,nan,20.96484375,251.578125,3066.8747295696257,0.00035,5.094217777252197,4.448803424835205,b2ce10ecdabd,a9427cf280ac,11.641749634139538,12.439970220828057,0.0015125847047434656,1,L,31524864,34358272,7.980308019726905e-06,7.322199585590335e-06,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.00665,10.663586951732636
FLAT,0.5,16,1,0.0003,80640,2262035,28598,343176,10.147234700864553,nan,223.01806640625,2676.216796875,13810.365245273639,0.00015,5.028491020202637,9.700967073440552,b2ce10ecdabd,a9427cf280ac,10.248147553733586,12.751122494769096,0.008042520455975942,1,L,31524864,34358272,8.489225510616002e-05,7.789148409078897e-05,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.07645,7.385833179950714
FLAT,0.5,16,1,0.0003,182016,5105143,48504,582048,6.003047015304878,nan,3091.158203125,37093.8984375,61859.71701083337,0.0001,4.869333744049072,19.828600883483887,b2ce10ecdabd,a9427cf280ac,6.097660073563727,12.670587962269783,0.06397410522843477,1,L,31524864,34358272,0.001176655304127561,0.0010796206059926414,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.491235,0.3729612850062549
FLAT,0.5,16,1,0.0003,410880,11524536,123248,1478976,5.648411032780558,nan,9841.91015625,118102.921875,184393.332791273,0.00015,5.078898906707764,42.392900705337524,b2ce10ecdabd,a9427cf280ac,5.778968725634348,12.451241943860055,0.0800986628586265,1,L,31524864,34358272,0.0037463419945285093,0.0034373941121078498,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.631705,1.945325572282076
FLAT,0.5,16,1,0.0003,928128,26032025,274142,3289704,3.403979412484895,nan,55161.07080078125,661932.849609375,776526.9349123229,0.0002,4.942917346954346,88.55079984664917,b2ce10ecdabd,a9427cf280ac,3.54094486099866,12.771664025831223,0.20145763874196584,1,L,31524864,34358272,0.020997167493232483,0.019265603625507565,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.79612,1.6186171794869006
FLAT,0.5,16,1,0.0003,2096512,58801209,453838,5446056,1.197416104271441,nan,129232.19970703125,1550786.396484375,1737416.924470383,0.0003,4.865480422973633,189.73244380950928,b2ce10ecdabd,a9427cf280ac,1.253876223422616,13.10391926908493,0.28499817115358345,1,L,31524864,34358272,0.04919248490602132,0.045135750612963745,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.92772,0.3518314675912261
FLAT,0.5,16,1,0.0003,4735616,132815933,659496,7913952,0.7963986246004893,nan,179379.990234375,2152559.8828125,2317988.258839877,0.0,4.808295249938965,415.5352680683136,b2ce10ecdabd,a9427cf280ac,0.8528076537926006,13.030190743994712,0.2722397103242476,1,L,31524864,34358272,0.06828133763915682,0.06265041160430013,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.946455,0.13007572687347418
FLAT,0.5,16,1,0.0003,10696320,300001987,851316,10215792,0.6334044837402232,nan,209127.1591796875,2509525.91015625,2655765.391777792,0.00025,4.812057971954346,916.8365561962128,b2ce10ecdabd,a9427cf280ac,0.6753569790737145,12.857382773041724,0.24589576608450917,1,L,31524864,34358272,0.07960465460394214,0.07303993373579003,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39473,0.95459,0.060618699227343316
