corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
CURATEDF,0.5,0,1,0.003,83072,1001257,29275,351300,10.739905031008721,nan,91.852783203125,1102.2333984375,9463.729392678739,0.00035,2.3520193099975586,6.1499903202056885,b2ce10ecdabd,8922de651798,10.82942475676775,12.937897445249558,0.0033817250213492743,1,S,2045568,2972592,0.0005388397738122126,0.0003707987501942749,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.034125,8.284374656677246
CURATEDF,0.5,0,1,0.003,187520,2259419,49600,595200,6.503110566550921,nan,2674.890625,32098.6875,58747.89012073912,0.0001,2.0436153411865234,14.041550397872925,b2ce10ecdabd,8922de651798,6.56982796196186,13.668827991366387,0.054173387096774196,1,S,2045568,2972592,0.015691821293645578,0.01079821499216845,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.4556,0.6579379496332258
CURATEDF,0.5,0,1,0.003,423552,5102709,82763,993156,4.4098158428191745,nan,7635.794189453125,91629.5302734375,135717.65254740772,5e-05,1.69474458694458,31.379268407821655,b2ce10ecdabd,8922de651798,4.484420770778015,13.644160985469819,0.09250510493819702,1,S,2045568,2972592,0.04479417466123713,0.03082479205805489,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.643115,0.05259926604200155
CURATEDF,0.5,0,1,0.003,956800,11525385,135644,1627728,3.755653008316937,nan,11035.8837890625,132430.60546875,183026.5147162535,0.0002,1.575858235359192,70.15463161468506,b2ce10ecdabd,8922de651798,3.838538596954962,13.35566237666607,0.08160331455869776,1,S,2045568,2972592,0.06474026063604339,0.04455054897165504,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.697915,0.02751799432898406
CURATEDF,0.5,0,1,0.003,2160896,26031791,701347,8416164,12.030262378087043,nan,15.772705078125,189.2724609375,3458.868661767672,0.00015,2.402172803878784,145.93913197517395,b2ce10ecdabd,8922de651798,12.123430994815827,12.036561316537856,0.0002666297852560858,1,S,2045568,2972592,9.2528070901334e-05,6.367253257006007e-05,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.000235,12.028875409126282
CURATEDF,0.5,0,1,0.003,4881024,58800178,960637,11527644,12.021310223093034,nan,16.469482421875,197.6337890625,1896.174433447406,0.00025,2.37982439994812,311.2313485145569,b2ce10ecdabd,8922de651798,12.127106317811013,12.023364791297913,0.0002612849598755826,1,S,2045568,2972592,9.661560459613174e-05,6.648533975146943e-05,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.000275,12.021730116844177
CURATEDF,0.5,0,1,0.003,11025024,132815102,998805,11985660,12.00511206767559,nan,34.151123046875,409.8134765625,4256.7128151490615,0.0,2.356400728225708,684.6025726795197,b2ce10ecdabd,8922de651798,12.173907305197716,12.00556713088287,0.00027833260746592175,1,S,2045568,2972592,0.00020034214289747396,0.0001378640178546198,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.00015,12.008728796005249
CURATEDF,0.5,0,1,0.003,24903168,300000660,999997,11999964,11.979047495231628,nan,183.860107421875,2206.3212890625,47442.7459936142,0.0,2.381782054901123,1524.3796935081482,b2ce10ecdabd,8922de651798,12.152832290520667,12.074630737304688,0.000428001284003852,1,S,2045568,2972592,0.0010785861379638809,0.0007422213640696403,,,,,,,,300000000,,CURATED,x30,4.4985245718e-08,507909,0.00032,12.004799047470092
