corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot
FLAT,0.5,16,2,0.0003,35712,1002175,16504,198048,11.67003039050579,nan,12.970703125,155.6484375,2540.7874864799496,0.00025,5.0644850730896,3.9255104064941406,51a86202db31,0936d04374cf,11.70742946293831,12.411796338796616,0.001030053320407174,1,M,7993152,9586944,1.9472723338677908e-05,1.623545913066771e-05,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.00511,10.865325258255005,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,2,0.0003,80640,2261705,28300,339600,10.574155812871457,nan,32.0908203125,385.08984375,10245.721044678688,0.00025,5.033311367034912,8.476574659347534,51a86202db31,0936d04374cf,10.663709042110444,12.59540130405426,0.0013780918727915195,1,M,7993152,9586944,4.817747038339819e-05,4.0168154080174034e-05,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.012515,8.392505854606629,base,0.1,constant,0,0.0005,0.001
FLAT,0.5,16,2,0.0003,182016,5104542,48143,577716,7.842377383706831,nan,1357.246337890625,16286.9560546875,31208.612306772542,0.0003,4.935449600219727,17.486325979232788,51a86202db31,0936d04374cf,7.973540082260072,12.546235916256904,0.028436117400245105,1,M,7993152,9586944,0.0020376137041667043,0.0016988683833646572,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.33337,2.6504911056160925,base,0.1,constant,0,0.0005,0.0005
FLAT,0.5,16,2,0.0003,411008,11527477,123277,1479324,7.5301403474725035,nan,3364.903076171875,40378.8369140625,79050.22566809003,0.0002,5.061822891235352,36.81209421157837,51a86202db31,0936d04374cf,7.697370125419125,12.35666369638443,0.027539605928113112,1,M,7993152,9586944,0.005051678851354572,0.004211856970694989,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.479515,3.493015087351203,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,2,0.0003,928256,26034033,274385,3292620,7.065199517193884,nan,18452.011474609375,221424.1376953125,290054.94431258406,0.00035,5.035351276397705,79.27476453781128,51a86202db31,0936d04374cf,7.30557890701741,12.44761175673008,0.06749275652823587,1,M,7993152,9586944,0.027701729892702216,0.023096425481917125,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.548445,4.746361065387726,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,2,0.0003,2096512,58800742,452540,5430480,2.871339852521876,nan,69335.5166015625,832026.19921875,977068.7557082264,0.0003,4.9410624504089355,172.80346155166626,51a86202db31,0936d04374cf,3.0699840344045404,13.013835650241376,0.15345825783356168,1,M,7993152,9586944,0.10409237797789282,0.08678742665220011,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.838615,1.6668957576192915,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,2,0.0003,4735360,132815534,646345,7756140,1.6295732556036302,nan,100064.20092773438,1200770.4111328125,1371281.8537134235,0.00035,4.8838677406311035,380.52819776535034,51a86202db31,0936d04374cf,1.7671042924829712,13.067722288739681,0.1550596043908439,1,M,7993152,9586944,0.15022489390078064,0.12525059196474,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.911255,0.7065696944836527,base,0.1,constant,0,0.973,0.9995
FLAT,0.5,16,2,0.0003,10696192,300002541,845007,10140084,1.0650558107387065,nan,129648.69946289062,1555784.3935546875,1770560.2607098313,0.0002,4.840231895446777,845.429949760437,51a86202db31,0936d04374cf,1.1504747635526675,13.082053996586799,0.15367328317990264,1,M,7993152,9586944,0.19463966074393274,0.1622815772737055,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.935505,0.27268312956765295,base,0.1,constant,0,0.0035,0.0035
