corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot
FLAT,0.5,16,5,0.0003,35712,1001639,16426,197112,11.6030143236351,nan,16.98974609375,203.876953125,2710.6604764398576,0.00025,5.080201625823975,4.039517402648926,51a86202db31,234eded19365,11.653697233576775,12.304108669424057,0.0012784609765006697,1,M,7993152,9586944,2.5506452664105475e-05,2.1266104519333793e-05,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.00532,10.835018239974975,base,0.1,constant,0,0.0005,0.0
FLAT,0.5,16,5,0.0003,80640,2261912,28383,340596,10.542665161206722,nan,51.070556640625,612.8466796875,10342.144704012513,0.0003,5.033689498901367,8.752817869186401,51a86202db31,234eded19365,10.6292537419796,12.551184664130211,0.0020434767290279394,1,M,7993152,9586944,7.667146573560718e-05,6.392513398299813e-05,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.016785,8.367929543972016,base,0.1,constant,0,0.0005,0.001
FLAT,0.5,16,5,0.0003,182016,5104940,48309,579708,7.729762416793145,nan,1426.205810546875,17114.4697265625,32127.17483183441,0.0003,4.909187316894531,18.056796550750732,51a86202db31,234eded19365,7.858183428682611,12.569305805635452,0.029766710136827506,1,M,7993152,9586944,0.002141141532972537,0.001785185114939912,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.33964,2.4486884911060334,base,0.1,constant,0,0.0,0.0005
FLAT,0.5,16,5,0.0003,411008,11527225,123046,1476552,7.314277510438264,nan,3613.95947265625,43367.513671875,82069.24690026692,0.00015,5.065196514129639,38.1147301197052,51a86202db31,234eded19365,7.479560561068356,12.356636933755874,0.029614940753864408,1,M,7993152,9586944,0.005425583508467623,0.004523601438777049,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.489695,3.1689069005027415,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,5,0.0003,928256,26033459,274011,3288132,6.81359443387501,nan,19864.102783203125,238369.2333984375,302627.91389540525,0.0002,5.023336410522461,82.04758095741272,51a86202db31,234eded19365,7.116498305709958,12.44244641714096,0.07273795577549806,1,M,7993152,9586944,0.02982168153419796,0.024863943442085142,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.57127,4.342076140254736,base,0.1,constant,0,0.0005,0.0
FLAT,0.5,16,5,0.0003,2096512,58799778,453304,5439648,2.94557955723973,nan,69409.330078125,832911.9609375,969682.8033262885,0.00025,4.898308753967285,177.84074139595032,51a86202db31,234eded19365,3.110458116031485,12.960419096660614,0.15336286465594834,1,M,7993152,9586944,0.10420319305043868,0.08687981915170256,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.837335,1.7298837258778512,base,0.1,constant,0,0.0005,0.0
FLAT,0.5,16,5,0.0003,4735616,132818051,647498,7769976,1.6417562114318693,nan,100246.91943359375,1202963.033203125,1376019.4269047454,5e-05,4.884277820587158,390.2702112197876,51a86202db31,234eded19365,1.7745377348112081,13.072201161813735,0.15506611603433523,1,M,7993152,9586944,0.1504992064711299,0.12547930114154468,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.910945,0.6865466127246618,base,0.1,constant,0,0.978,0.9985
FLAT,0.5,16,5,0.0003,10696448,300001065,845833,10149996,1.078747914587506,nan,128837.49780273438,1546049.9736328125,1756859.7813372419,0.0004,4.8122639656066895,871.459892988205,51a86202db31,234eded19365,1.1676621047616378,13.045648686647414,0.152564395099269,1,M,7993152,9586944,0.1934218157784079,0.16126619427763556,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.935225,0.30556642841314896,base,0.1,constant,0,0.0035,0.0015
