corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot
RAW,0.5,16,3,0.003,35712,1001638,16497,197964,11.937147257881165,nan,0.972412109375,11.6689453125,1544.0513881145007,0.00015,5.06028938293457,3.0192248821258545,51a86202db31,46dad8e8823c,11.973544272918701,12.48407415342331,0.0003030854094683882,1,S,2045568,2975280,5.704501298661301e-06,3.921965432665161e-06,,,,,,,,300000000,,RAW,RAW,,,0.000775,11.368042130470275,base,0.1,constant,0,0.0005,0.0
RAW,0.5,16,3,0.003,80640,2261581,28569,342828,11.8086096803236,nan,2.025146484375,24.3017578125,2202.4783905743116,0.0001,5.083393573760986,6.4982569217681885,51a86202db31,46dad8e8823c,11.874128964719773,12.576685805749893,0.0003150267772760685,1,S,2045568,2975280,1.1880200419883377e-05,8.167889345708639e-06,,,,,,,,300000000,,RAW,RAW,,,0.00111,11.035438210487365,base,0.1,constant,0,0.0005,0.0005
RAW,0.5,16,3,0.003,182016,5104936,48307,579684,10.951327292314767,nan,59.206298828125,710.4755859375,7755.214549017404,0.0002,5.055920600891113,13.555706977844238,51a86202db31,46dad8e8823c,11.044801568806172,12.799386849761008,0.0014697662864595193,1,S,2045568,2975280,0.00034732435486745,0.0002387928483831774,,,,,,,,300000000,,RAW,RAW,,,0.023435,8.887482919931411,base,0.1,constant,0,0.0005,0.0
RAW,0.5,16,3,0.003,410880,11524772,80770,969240,5.328866601942603,nan,4470.28076171875,53643.369140625,89513.71067713459,0.00015,4.868508815765381,28.81471610069275,51a86202db31,46dad8e8823c,5.4009322743223285,13.820822836327553,0.05558994676241179,1,S,2045568,2975280,0.02622419256686896,0.018029687673303017,,,,,,,,300000000,,RAW,RAW,,,0.55545,0.19692656806576997,base,0.1,constant,0,0.0,0.0005
RAW,0.5,16,3,0.003,928128,26033446,132707,1592484,4.085674026697774,nan,8604.600830078125,103255.2099609375,159794.79420430318,0.00025,4.78109884262085,62.14746904373169,51a86202db31,46dad8e8823c,4.177906781028008,13.727970359879732,0.06508322846571771,1,S,2045568,2975280,0.05047752504973557,0.03470436730692154,,,,,,,,300000000,,RAW,RAW,,,0.654805,0.07430584890209138,base,0.1,constant,0,0.0,0.0
RAW,0.5,16,3,0.003,2096512,58801633,213041,2556492,3.608387631624241,nan,11380.988037109375,136571.8564453125,204299.5860824266,0.00025,4.77327299118042,136.35645127296448,51a86202db31,46dad8e8823c,3.7871979537707974,13.638104171955586,0.053665726315591834,1,S,2045568,2975280,0.06676475993235742,0.04590218616241581,,,,,,,,300000000,,RAW,RAW,,,0.697445,0.03853326539299451,base,0.1,constant,0,0.0,0.0
RAW,0.5,16,3,0.003,4735488,132816446,324142,3889704,3.1666290880751142,nan,14842.86376953125,178114.365234375,236280.4643680861,0.00025,4.689718723297119,303.0797281265259,51a86202db31,46dad8e8823c,3.3409951468516326,12.974542798876762,0.04603537955587366,1,S,2045568,2975280,0.08707330444862992,0.05986474054017605,,,,,,,,300000000,,RAW,RAW,,,0.73935,0.018170990801299924,base,0.1,constant,0,0.04,0.923
RAW,0.5,16,3,0.003,10696320,300000624,488867,5866404,2.815320022829667,nan,18135.647705078125,217627.7724609375,264343.36061802984,0.00025,4.707564353942871,674.1119635105133,51a86202db31,46dad8e8823c,2.976528587565521,12.576275485825539,0.037341444605588026,1,S,2045568,2975280,0.10638989877673952,0.07314530815954717,,,,,,,,300000000,,RAW,RAW,,,0.771095,0.009606020577135495,base,0.1,constant,0,0.001,0.0
