corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot
FLAT,0.5,16,4,0.0003,35712,1001748,16408,196896,11.445951517341136,nan,17.994140625,215.9296875,3956.840606261063,0.0002,5.096014499664307,4.937434673309326,51a86202db31,2922c6c2e652,11.498292765510083,12.443375977706909,0.001340809361287177,1,L,31524864,34358272,6.8495041723256915e-06,6.2846492250832634e-06,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.008215,10.362089890956879,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,4,0.0003,80640,2261482,28466,341592,10.231203903802633,nan,122.05029296875,1464.603515625,13178.729392472887,0.0002,5.0839104652404785,10.44476580619812,51a86202db31,2922c6c2e652,10.331410042382478,12.773179229044914,0.004531722054380665,1,L,31524864,34358272,4.645867831896118e-05,4.262739161110896e-05,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.04596,7.569186816692352,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,4,0.0003,182016,5104508,48203,578436,6.171764393492639,nan,2914.231689453125,34970.7802734375,57981.830152724055,0.0001,4.8166704177856445,21.166045904159546,51a86202db31,2922c6c2e652,6.270943177482774,12.65471605064869,0.0607016160819866,1,L,31524864,34358272,0.001109307887051868,0.001017827097749197,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.477105,0.4885965971741825,base,0.1,constant,0,0.0005,0.0
FLAT,0.5,16,4,0.0003,411008,11526770,150174,1802088,11.223845107021331,nan,581.33642578125,6976.037109375,19531.75147607956,0.0004,5.044393539428711,43.613229274749756,51a86202db31,2922c6c2e652,11.28589121726036,12.133535700035095,0.00411522633744856,1,L,31524864,34358272,0.00022128682646735604,0.0002030380663315955,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.095595,10.552806134223937,base,0.1,constant,0,0.0,0.0005
FLAT,0.5,16,4,0.0003,928256,26033375,398439,4781268,11.451523500084877,nan,435.724853515625,5228.6982421875,41891.17458537311,0.0004,5.044349670410156,92.57184171676636,51a86202db31,2922c6c2e652,11.646670922222137,12.154911904478073,0.001337720454072016,1,L,31524864,34358272,0.0001658595019533629,0.0001521816417946601,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.018275,11.061659459114075,base,0.1,constant,0,0.0,0.0
FLAT,0.5,16,4,0.0003,2096640,58802527,641216,7694592,10.481465584304333,nan,7088.453125,85061.4375,286874.11701369553,0.00025,5.078602313995361,199.29818534851074,51a86202db31,2922c6c2e652,10.740767904996872,12.344383505821227,0.011298844695079349,1,L,31524864,34358272,0.0026982332897613768,0.00247571931149506,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.070425,10.0225992770195,base,0.1,constant,0,0.0,0.0005
FLAT,0.5,16,4,0.0003,4735616,132815513,836981,10043772,6.384116911260253,nan,130875.65893554688,1570507.9072265625,1742527.2283715229,0.0003,5.024120330810547,434.1301848888397,51a86202db31,2922c6c2e652,6.622068776594568,12.739957928061486,0.15661048458686636,1,L,31524864,34358272,0.04981807081631066,0.0457097466143397,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.51693,6.080711698979139,base,0.1,constant,0,1.0,1.0
FLAT,0.5,16,4,0.0003,10696576,300003304,964492,11573904,2.229729547166,nan,299496.5283203125,3593958.33984375,3590484.2895435146,0.0003,4.891647815704346,955.3081889152527,51a86202db31,2922c6c2e652,2.318517599197868,13.073960143494606,0.3107667041302572,1,L,31524864,34358272,0.11400392844973892,0.10460241830100624,,,,,,,,300000000,,FLAT,30,2.6046921207e-07,156849,0.90778,1.954298705836758,base,0.1,constant,0,0.0035,0.002
