corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot
RAW,0.5,16,1,0.0003,35712,1002054,16521,198252,11.75002504736185,nan,4.966552734375,59.5986328125,2635.191889230752,0.0003,nan,4.400716304779053,51a86202db31,70f4e08486a7,11.786302881300449,12.620299692988395,0.0005447612130016343,0,L,31524864,34358272,1.8905278326498093e-06,1.7346225331850216e-06,,,,,,,,300000000,,RAW,RAW,,,0.002855,10.843632957935334,cosine,0.1,cosine,1,0.0005,
RAW,0.5,16,1,0.0003,80640,2262035,28614,343368,10.387392756779194,nan,97.01416015625,1164.169921875,12138.985191336966,0.0004,5.0742034912109375,9.31309461593628,51a86202db31,70f4e08486a7,10.510822897825241,12.716573251366615,0.00363458446914098,0,L,31524864,34358272,3.6928626301924727e-05,3.388325006202291e-05,,,,,,,,300000000,,RAW,RAW,,,0.033755,7.8933083610534664,cosine,0.1,cosine,1,0.0005,
RAW,0.5,16,1,0.0003,182016,5105143,48475,581700,6.3995370142391605,nan,2644.165283203125,31729.9833984375,54407.98431005135,0.00015,5.047165155410767,18.588665008544922,51a86202db31,70f4e08486a7,6.502858459463361,12.765112156713009,0.05479112944816916,0,L,31524864,34358272,0.0010065065910653097,0.0009235034695120144,,,,,,,,300000000,,RAW,RAW,,,0.46071,0.6992370560877025,cosine,0.1,cosine,1,0.0,
RAW,0.5,16,1,0.0003,410880,11524536,80829,969948,3.767008893408816,nan,10319.266357421875,123831.1962890625,172736.02565907963,0.0004,4.824724316596985,38.13718390464783,51a86202db31,70f4e08486a7,3.833592563387807,12.758801160788536,0.12791201177795097,0,L,31524864,34358272,0.003928048548887078,0.00360411595464005,,,,,,,,300000000,,RAW,RAW,,,0.69253,0.05028329251310788,cosine,0.1,cosine,1,0.0,
RAW,0.5,16,1,0.0003,928128,26032025,132442,1589304,2.6273072116668628,nan,23571.66552734375,282859.986328125,351022.93069511256,0.00015,4.733023405075073,79.36876583099365,51a86202db31,70f4e08486a7,2.6880629898416846,12.7138438778162,0.17822141012669698,0,L,31524864,34358272,0.008972599733598374,0.0082326604297249,,,,,,,,300000000,,RAW,RAW,,,0.78924,0.013738191253796685,cosine,0.1,cosine,1,0.0,
RAW,0.5,16,1,0.0003,2096512,58801209,212985,2555820,2.094284541932312,nan,37321.001708984375,447852.0205078125,518450.46435140475,0.00035,4.715884685516357,169.90749597549438,51a86202db31,70f4e08486a7,2.1801339761858167,12.625841614985466,0.17547245111158064,0,L,31524864,34358272,0.014206310945792264,0.013034765558285717,,,,,,,,300000000,,RAW,RAW,,,0.83544,0.00558306325218291,cosine,0.1,cosine,1,0.0005,
RAW,0.5,16,1,0.0003,4735616,132815933,324075,3888900,1.7295802422815811,nan,53655.880126953125,643870.5615234375,696939.4352754144,0.0004,4.724644899368286,372.2886905670166,51a86202db31,70f4e08486a7,1.785161169514613,12.562807124662399,0.16581038339890458,0,L,31524864,34358272,0.02042421377371961,0.018739899419954457,,,,,,,,300000000,,RAW,RAW,,,0.868475,0.0036042212530010146,cosine,0.1,cosine,1,0.7055,
RAW,0.5,16,1,0.0003,10696320,300001987,488690,5864280,1.0705940839410195,nan,115600.69091796875,1387208.291015625,1363280.4912219606,0.0003,4.67187774181366,815.5753152370453,51a86202db31,70f4e08486a7,1.1298669347533365,12.425886082816124,0.23679633305367412,0,L,31524864,34358272,0.04400362491700598,0.04037479798214605,,,,,,,,300000000,,RAW,RAW,,,0.923595,0.0016477283793501557,cosine,0.1,cosine,0,0.079,
