corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot
FLAT,0.5,16,2,0.0001,35712,1002175,16504,198048,11.86260500553131,nan,5.970703125,71.6484375,799.7188528629304,0.0002,5.2694993019104,4.011929512023926,51a86202db31,627b3e2b5c03,11.955318548269272,12.053787574434281,0.0006059137178865729,1,M,7993152,9586944,8.963727638358435e-06,7.473542924627493e-06,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.00244,11.641100780487061,lr3,0.1,constant,0,0.0,0.0
FLAT,0.5,16,2,0.0001,80640,2261705,28300,339600,11.337712876105309,nan,27.0908203125,325.08984375,4287.619183487892,0.0004,5.072406768798828,8.655396699905396,51a86202db31,627b3e2b5c03,11.412456475479603,12.261827729845047,0.0012014134275618374,1,M,7993152,9586944,4.067104488316999e-05,3.3909642504431023e-05,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.01084,10.31794614315033,lr3,0.1,constant,0,0.0005,0.001
FLAT,0.5,16,2,0.0001,182016,5104542,48143,577716,10.016702980287075,nan,318.246337890625,3818.9560546875,13045.922057677937,0.0002,5.0037455558776855,17.958455085754395,51a86202db31,627b3e2b5c03,10.126157936704159,12.403907532978058,0.00685457906653096,1,M,7993152,9586944,0.0004777784852192852,0.0003983496779252596,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.11791,7.333832285404205,lr3,0.1,constant,0,0.001,0.001
FLAT,0.5,16,2,0.0001,411008,11527477,123277,1479324,10.132763640362024,nan,990.903076171875,11890.8369140625,25310.2601930645,0.00025,5.06870698928833,40.919130086898804,51a86202db31,627b3e2b5c03,10.187612077969312,12.154274550437927,0.008282161311517964,1,M,7993152,9586944,0.0014876280238462249,0.0012403156745322075,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.259635,8.024697471141815,lr3,0.1,constant,0,0.001,0.001
FLAT,0.5,16,2,0.0001,928256,26034033,274385,3292620,9.577967235482932,nan,3072.011474609375,36864.1376953125,89829.85713232183,0.0002,5.075249195098877,89.094486951828,51a86202db31,627b3e2b5c03,9.830388024135829,12.19929631843567,0.011440129744701788,1,M,7993152,9586944,0.004611965054000287,0.0038452438749316258,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.330305,7.680453893661499,lr3,0.1,constant,0,0.0,0.0
FLAT,0.5,16,2,0.0001,2096512,58800742,452540,5430480,6.907751287048459,nan,31408.5166015625,376902.19921875,385001.3763296354,0.0001,5.033337116241455,189.54771542549133,51a86202db31,627b3e2b5c03,7.218668916919678,12.403333605480194,0.06964909179299067,1,M,7993152,9586944,0.04715313798846187,0.03931411294555909,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.62634,5.079962830632925,lr3,0.1,constant,0,0.0,0.0005
FLAT,0.5,16,2,0.0001,4735360,132815534,646345,7756140,1.7952443774409965,nan,88857.20092773438,1066286.4111328125,1224978.5957797982,0.0002,4.897632122039795,411.3520121574402,51a86202db31,627b3e2b5c03,1.913649261231413,12.938708578228951,0.13772056718934933,1,M,7993152,9586944,0.13339999178456916,0.11122276411886964,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.90675,0.7405938596390188,lr3,0.1,constant,0,1.0,1.0
FLAT,0.5,16,2,0.0001,10696192,300002541,845007,10140084,0.8343454335719533,nan,154848.69946289062,1858184.3935546875,2080965.7596799098,0.0003,4.819079875946045,908.2554979324341,51a86202db31,627b3e2b5c03,0.885071041426477,13.047547635507584,0.18349552133887648,1,M,7993152,9586944,0.23247204526508286,0.1938244756154503,,,,,,,,300000000,,FLAT,100,2.0057493899e-06,39479,0.94513,0.15185418853722513,lr3,0.1,constant,0,0.0535,0.0365
