corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot
RAW,0.5,16,3,0.0003,35712,1001638,16497,197964,11.702875431675912,nan,7.972412109375,95.6689453125,2288.7433903516767,0.0003,5.063213348388672,4.418750762939453,51a86202db31,17cbd45a78ed,11.735356156401634,12.375473282957078,0.0007274049827241316,1,L,31524864,34358272,3.034713974103108e-06,2.7844515961833004e-06,,,,,,,,300000000,,RAW,RAW,,,0.00399,11.01309186077118,base,0.1,constant,0,0.0,0.0
RAW,0.5,16,3,0.0003,80640,2261581,28569,342828,10.133897917363047,nan,199.025146484375,2388.3017578125,13868.006925672722,0.00025,5.043616771697998,9.568602561950684,51a86202db31,17cbd45a78ed,10.238130295988322,12.762078641557693,0.0072106129020966785,1,L,31524864,34358272,7.575930407859968e-05,6.951169598437605e-05,,,,,,,,300000000,,RAW,RAW,,,0.06929,7.337770956516266,base,0.1,constant,0,0.0,0.0
RAW,0.5,16,3,0.0003,182016,5104936,48307,579684,5.917995399314654,nan,3342.206298828125,40106.4755859375,64334.08916276763,0.0004,4.885663986206055,19.583930730819702,51a86202db31,17cbd45a78ed,6.011902169701648,12.655843602526188,0.06943093133500321,1,L,31524864,34358272,0.0012722172436949292,0.0011673018825259169,,,,,,,,300000000,,RAW,RAW,,,0.50369,0.33049792688526214,base,0.1,constant,0,0.001,0.001
RAW,0.5,16,3,0.0003,410880,11524772,80770,969240,3.4968848511611967,nan,11646.28076171875,139755.369140625,195716.6142251904,0.0002,4.7455620765686035,39.88719701766968,51a86202db31,17cbd45a78ed,3.552646239578165,12.71162066195011,0.1444348149065247,1,L,31524864,34358272,0.004433179129357227,0.004067590161129902,,,,,,,,300000000,,RAW,RAW,,,0.710525,0.016690564720192924,base,0.1,constant,0,0.0,0.0005
RAW,0.5,16,3,0.0003,928128,26033446,132707,1592484,2.4326233863383138,nan,26779.600830078125,321355.2099609375,395493.56014409644,0.0003,4.717314720153809,83.6621994972229,51a86202db31,17cbd45a78ed,2.4787996790247955,12.682316890120505,0.20203907857159004,1,L,31524864,34358272,0.010193706464869681,0.009353066707223736,,,,,,,,300000000,,RAW,RAW,,,0.802805,0.00515573125280207,base,0.1,constant,0,0.0005,0.0005
RAW,0.5,16,3,0.0003,2096512,58801633,213041,2556492,1.8998730819648229,nan,44644.988037109375,535739.8564453125,595085.6368790169,0.0001,4.708531856536865,180.9642481803894,51a86202db31,17cbd45a78ed,1.9775754168784072,12.557084534215926,0.20980468548307601,1,L,31524864,34358272,0.016994200401477148,0.0155927474014209,,,,,,,,300000000,,RAW,RAW,,,0.8502,0.0020793551017995924,base,0.1,constant,0,0.0,0.0005
RAW,0.5,16,3,0.0003,4735488,132816446,324142,3889704,1.643965370940753,nan,57266.86376953125,687202.365234375,726243.608535111,0.0001,4.666567802429199,397.370183467865,51a86202db31,17cbd45a78ed,1.705946412494525,12.545328882169724,0.17691628977423474,1,L,31524864,34358272,0.021798741629285856,0.020001074711626213,,,,,,,,300000000,,RAW,RAW,,,0.874005,0.0017963229985034559,base,0.1,constant,0,0.907,1.0
RAW,0.5,16,3,0.0003,10696320,300000624,488867,5866404,1.4130161010659668,nan,68978.64770507812,827743.7724609375,869080.9377139816,0.00045,4.6628594398498535,884.1047832965851,51a86202db31,17cbd45a78ed,1.4969389030410245,12.396217928767204,0.1413431464999683,1,L,31524864,34358272,0.026256854667507448,0.024091542568291487,,,,,,,,300000000,,RAW,RAW,,,0.891595,0.0014354438673472032,base,0.1,constant,0,0.0035,0.0025
