corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits
FLAT,0.5,16,2,0.0003,35712,1002175,16510,198120,11.69548585726261,nan,11.96923828125,143.630859375,2233.6175723099714,0.00035,5.066657066345215,3.9170525074005127,b96c139e1441,b5602dc2c7d9,11.73312060455799,12.34650994286537,0.0009691096305269534,1,M,7993152,9586944,1.79692390905365e-05,1.49819232672059e-05,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.00299,10.993419998168946
FLAT,0.5,16,2,0.0003,80640,2261705,28348,340176,10.579911910836696,nan,33.0791015625,396.94921875,10188.73365361271,0.00025,5.029056549072266,8.455053567886353,b96c139e1441,b5602dc2c7d9,10.666289600355626,12.547164904975892,0.0014110342881332016,1,M,7993152,9586944,4.966116229867767e-05,4.140518800881699e-05,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.0126,8.445472723960876
FLAT,0.5,16,2,0.0003,182016,5104542,48215,578580,8.062049932210595,nan,1193.228759765625,14318.7451171875,29179.456738337634,0.0003,4.947450637817383,17.569785118103027,b96c139e1441,b5602dc2c7d9,8.196681883071735,12.559312220835686,0.024992222337446853,1,M,7993152,9586944,0.0017913765579820702,0.001493567201100528,,,,,,,,300000000,,FLAT,1000,6.5247445428e-05,2971,0.308225,3.08801435559988
