corpus,seed,docs,bin,n_lo,n_facts,frac_stored
Z10_n64,1,10000000,5-8,5,319,0.0216994330427116
Z10_n64,1,10000000,9-16,9,259,0.03064389026303089
Z10_n64,1,10000000,17-32,17,175,0.05118443080357143
Z10_n64,1,10000000,33-64,33,123,0.21926805449695122
Z10_n64,1,10000000,65-128,65,89,0.9660479942064607
Z10_n64,1,10000000,129-256,129,63,0.999755859375
Z10_n64,1,10000000,>=257,257,154,0.999755859375
Z10_n64,2,10000000,1,1,2226,0.0020020408664645105
Z10_n64,2,10000000,2,2,537,0.0034802541608473
Z10_n64,2,10000000,3-4,3,438,0.01117138448915525
Z10_n64,2,10000000,5-8,5,326,0.015093282687883436
Z10_n64,2,10000000,9-16,9,274,0.021653669593978103
Z10_n64,2,10000000,17-32,17,179,0.0444485968051676
Z10_n64,2,10000000,33-64,33,119,0.37790711987920167
Z10_n64,2,10000000,65-128,65,89,0.9435760840941011
Z10_n64,2,10000000,129-256,129,65,0.999755859375
Z10_n64,2,10000000,>=257,257,152,0.999755859375
Z10_n64,3,10000000,1,1,2171,0.0015983282833371719
Z10_n64,3,10000000,2,2,533,0.0072605498065197
Z10_n64,3,10000000,3-4,3,457,0.0085085946047593
Z10_n64,3,10000000,5-8,5,318,0.009189821639150943
Z10_n64,3,10000000,9-16,9,275,0.02884676846590909
Z10_n64,3,10000000,17-32,17,177,0.04495359948799435
Z10_n64,3,10000000,33-64,33,119,0.3442936745010504
Z10_n64,3,10000000,65-128,65,90,0.9775336371527777
Z10_n64,3,10000000,129-256,129,66,0.999755859375
Z10_n64,3,10000000,>=257,257,154,0.999755859375
EQ4_n16,1,4000000,1,1,0,
EQ4_n16,1,4000000,2,2,0,
EQ4_n16,1,4000000,3-4,3,1000000,1.8593750000000164e-06
EQ4_n16,1,4000000,5-8,5,0,
EQ4_n16,1,4000000,9-16,9,0,
EQ4_n16,1,4000000,17-32,17,0,
EQ4_n16,1,4000000,33-64,33,0,
EQ4_n16,1,4000000,65-128,65,0,
EQ4_n16,1,4000000,129-256,129,0,
EQ4_n16,1,4000000,>=257,257,0,
EQ4_n16,2,4000000,1,1,0,
EQ4_n16,2,4000000,2,2,0,
EQ4_n16,2,4000000,3-4,3,1000000,1.1859374999999988e-05
EQ4_n16,2,4000000,5-8,5,0,
EQ4_n16,2,4000000,9-16,9,0,
EQ4_n16,2,4000000,17-32,17,0,
EQ4_n16,2,4000000,33-64,33,0,
EQ4_n16,2,4000000,65-128,65,0,
EQ4_n16,2,4000000,129-256,129,0,
EQ4_n16,2,4000000,>=257,257,0,
EQ4_n16,3,4000000,1,1,0,
EQ4_n16,3,4000000,2,2,0,
EQ4_n16,3,4000000,3-4,3,1000000,2.5859375000000003e-05
EQ4_n16,3,4000000,5-8,5,0,
EQ4_n16,3,4000000,9-16,9,0,
EQ4_n16,3,4000000,17-32,17,0,
EQ4_n16,3,4000000,33-64,33,0,
EQ4_n16,3,4000000,65-128,65,0,
EQ4_n16,3,4000000,129-256,129,0,
EQ4_n16,3,4000000,>=257,257,0,
EQ16_n0,1,16000000,1,1,0,
EQ16_n0,1,16000000,2,2,0,
EQ16_n0,1,16000000,3-4,3,0,
EQ16_n0,1,16000000,5-8,5,0,
EQ16_n0,1,16000000,9-16,9,1000000,2.8859375000000022e-05
EQ16_n0,1,16000000,17-32,17,0,
EQ16_n0,1,16000000,33-64,33,0,
EQ16_n0,1,16000000,65-128,65,0,
EQ16_n0,1,16000000,129-256,129,0,
EQ16_n0,1,16000000,>=257,257,0,
EQ16_n0,2,16000000,1,1,0,
EQ16_n0,2,16000000,2,2,0,
EQ16_n0,2,16000000,3-4,3,0,
EQ16_n0,2,16000000,5-8,5,0,
EQ16_n0,2,16000000,9-16,9,1000000,2.8859375000000022e-05
EQ16_n0,2,16000000,17-32,17,0,
EQ16_n0,2,16000000,33-64,33,0,
EQ16_n0,2,16000000,65-128,65,0,
EQ16_n0,2,16000000,129-256,129,0,
EQ16_n0,2,16000000,>=257,257,0,
EQ16_n64,1,16000000,1,1,0,
EQ16_n64,1,16000000,2,2,0,
EQ16_n64,1,16000000,3-4,3,0,
EQ16_n64,1,16000000,5-8,5,0,
EQ16_n64,1,16000000,9-16,9,1000000,0.00017185937499999997
EQ16_n64,1,16000000,17-32,17,0,
EQ16_n64,1,16000000,33-64,33,0,
EQ16_n64,1,16000000,65-128,65,0,
EQ16_n64,1,16000000,129-256,129,0,
EQ16_n64,1,16000000,>=257,257,0,
EQ16_n64,2,16000000,1,1,0,
EQ16_n64,2,16000000,2,2,0,
EQ16_n64,2,16000000,3-4,3,0,
EQ16_n64,2,16000000,5-8,5,0,
EQ16_n64,2,16000000,9-16,9,1000000,5.885937499999999e-05
EQ16_n64,2,16000000,17-32,17,0,
EQ16_n64,2,16000000,33-64,33,0,
EQ16_n64,2,16000000,65-128,65,0,
EQ16_n64,2,16000000,129-256,129,0,
EQ16_n64,2,16000000,>=257,257,0,
EQ32_n0,1,32000000,1,1,0,
EQ32_n0,1,32000000,2,2,0,
EQ32_n0,1,32000000,3-4,3,0,
EQ32_n0,1,32000000,5-8,5,0,
EQ32_n0,1,32000000,9-16,9,0,
EQ32_n0,1,32000000,17-32,17,1000000,7.385937499999998e-05
EQ32_n0,1,32000000,33-64,33,0,
EQ32_n0,1,32000000,65-128,65,0,
EQ32_n0,1,32000000,129-256,129,0,
EQ32_n0,1,32000000,>=257,257,0,
EQ32_n0,2,32000000,1,1,0,
EQ32_n0,2,32000000,2,2,0,
EQ32_n0,2,32000000,3-4,3,0,
EQ32_n0,2,32000000,5-8,5,0,
EQ32_n0,2,32000000,9-16,9,0,
EQ32_n0,2,32000000,17-32,17,1000000,1.5859374999999977e-05
EQ32_n0,2,32000000,33-64,33,0,
EQ32_n0,2,32000000,65-128,65,0,
EQ32_n0,2,32000000,129-256,129,0,
EQ32_n0,2,32000000,>=257,257,0,
