model_size,corpus_type,level,seed,bin,n_facts,frac_stored
L,FLAT,100,1,9-16,78589,0.5329475274201463
L,FLAT,100,1,17-32,50501,0.9098368478702773
L,FLAT,100,1,33-64,31850,0.9969615108663658
L,FLAT,100,1,65-128,51030,0.999755859375
L,FLAT,100,1,129-256,2522,0.999755859375
L,FLAT,100,1,>=257,20,0.999755859375
L,FLAT,100,2,1,195468,0.005884739805556408
L,FLAT,100,2,2,152906,0.01963081523023132
L,FLAT,100,2,3-4,166010,0.05366225055625414
L,FLAT,100,2,5-8,121247,0.17877059788399405
L,FLAT,100,2,9-16,78778,0.5225033269420872
L,FLAT,100,2,17-32,50345,0.9067575477253823
L,FLAT,100,2,33-64,31995,0.9970679393875019
L,FLAT,100,2,65-128,50897,0.9997362118515704
L,FLAT,100,2,129-256,2587,0.999755859375
L,FLAT,100,2,>=257,26,0.999755859375
L,FLAT,1000,1,1,239128,0.006338108212442709
L,FLAT,1000,1,2,105420,0.01997023994794631
L,FLAT,1000,1,3-4,83968,0.05302615282012195
L,FLAT,1000,1,5-8,55515,0.1706466096226808
L,FLAT,1000,1,9-16,36345,0.4860675941390666
L,FLAT,1000,1,17-32,23019,0.8643459805792226
L,FLAT,1000,1,33-64,14670,0.9816917830287151
L,FLAT,1000,1,65-128,9285,0.9971710451585218
L,FLAT,1000,1,129-256,5838,0.9995845678368019
L,FLAT,1000,1,>=257,8955,0.999755859375
L,FLAT,1000,2,1,238387,0.0075541034067634774
L,FLAT,1000,2,2,105378,0.023460997069775
L,FLAT,1000,2,3-4,83405,0.061095107621508
L,FLAT,1000,2,5-8,55678,0.18539471134525756
L,FLAT,1000,2,9-16,36375,0.5034809452856529
L,FLAT,1000,2,17-32,23040,0.8583930121527777
L,FLAT,1000,2,33-64,14614,0.9799803016905878
L,FLAT,1000,2,65-128,9296,0.9966362380324871
L,FLAT,1000,2,129-256,5835,0.9992417205575193
L,FLAT,1000,2,>=257,8964,0.999755859375
L,FLAT,30,1,1,80780,0.003036374353955187
L,FLAT,30,1,2,109432,0.011434344644391038
L,FLAT,30,1,3-4,199887,0.03499076709786342
L,FLAT,30,1,5-8,202921,0.1250262848114999
L,FLAT,30,1,9-16,138183,0.41130431323690775
L,FLAT,30,1,17-32,173628,0.8759797403158621
L,FLAT,30,1,33-64,61541,0.9791517092961908
L,FLAT,30,1,65-128,1405,0.9492220515458185
L,FLAT,30,1,129-256,357,0.957739052652311
L,FLAT,30,1,>=257,0,
L,FLAT,30,2,1,80808,0.002800112419253044
L,FLAT,30,2,2,109278,0.008906832123403156
L,FLAT,30,2,3-4,199878,0.029168801269555678
L,FLAT,30,2,5-8,202884,0.10614177447919747
L,FLAT,30,2,9-16,137802,0.3714268075470149
L,FLAT,30,2,17-32,173703,0.8499944850751894
L,FLAT,30,2,33-64,61693,0.9699307576616776
L,FLAT,30,2,65-128,1425,0.9372997190241228
L,FLAT,30,2,129-256,359,0.9524020989293176
L,FLAT,30,2,>=257,0,
L,FLAT,300,1,1,239648,0.00599834835884297
L,FLAT,300,1,2,134525,0.019298695279107044
L,FLAT,300,1,3-4,118278,0.05499013793906094
L,FLAT,300,1,5-8,80937,0.1819469462697453
L,FLAT,300,1,9-16,52251,0.5247984422920734
L,FLAT,300,1,17-32,33365,0.9033674283844411
L,FLAT,300,1,33-64,21285,0.9957154553345959
L,FLAT,300,1,65-128,13314,0.9996807504670835
L,FLAT,300,1,129-256,8496,0.999755859375
L,FLAT,300,1,>=257,13372,0.999755859375
L,FLAT,300,2,1,239183,0.006211167653598395
L,FLAT,300,2,2,133940,0.020324770827889353
L,FLAT,300,2,3-4,118343,0.05528090099131867
L,FLAT,300,2,5-8,80933,0.17999136281611797
L,FLAT,300,2,9-16,52146,0.5177629931915919
L,FLAT,300,2,17-32,33360,0.901134756257494
L,FLAT,300,2,33-64,21267,0.9962292688826879
L,FLAT,300,2,65-128,13409,0.9996812825982083
L,FLAT,300,2,129-256,8451,0.999755859375
L,FLAT,300,2,>=257,13382,0.999755859375
L,RAW,RAW,1,1,223105,0.005246547615962775
L,RAW,RAW,1,2,86478,0.016661893279576886
L,RAW,RAW,1,3-4,65516,0.0457140985837429
L,RAW,RAW,1,5-8,43256,0.14523856697625762
L,RAW,RAW,1,9-16,28153,0.43487822644067686
L,RAW,RAW,1,17-32,18095,0.809979678109457
L,RAW,RAW,1,33-64,11280,0.9575572778147163
L,RAW,RAW,1,65-128,7208,0.9887958149798834
L,RAW,RAW,1,129-256,4572,0.9984435234169947
L,RAW,RAW,1,>=257,6746,0.999755859375
L,RAW,RAW,2,1,222776,0.005901045570999569
L,RAW,RAW,2,2,85908,0.01786825868589072
L,RAW,RAW,2,3-4,65225,0.04755961560344001
