model_size,corpus_type,level,seed,bin,n_facts,frac_stored
S,FLAT,100,2,9-16,73970,0.004811963200875355
S,FLAT,100,2,17-32,47276,0.023404222180651916
S,FLAT,100,2,33-64,29904,0.12716356402989568
S,FLAT,100,2,65-128,43467,0.5321827579417288
S,FLAT,100,2,129-256,5556,0.6297054634066774
S,FLAT,100,2,>=257,1221,0.560771420390561
S,FLAT,1000,1,1,237310,0.00018146301580738273
S,FLAT,1000,1,2,103483,0.0003453281766389165
S,FLAT,1000,1,3-4,80970,0.0005092248189916018
S,FLAT,1000,1,5-8,54068,0.0013649442311071244
S,FLAT,1000,1,9-16,35116,0.007302276962424536
S,FLAT,1000,1,17-32,22372,0.03479966413094493
S,FLAT,1000,1,33-64,14228,0.18867910930471604
S,FLAT,1000,1,65-128,8973,0.606241984416792
S,FLAT,1000,1,129-256,5671,0.9191704247073929
S,FLAT,1000,1,>=257,8641,0.9948953108273781
S,FLAT,1000,2,1,236570,7.2890274945048e-05
S,FLAT,1000,2,2,103304,0.0002689082404843955
S,FLAT,1000,2,3-4,80592,0.000599615579089736
S,FLAT,1000,2,5-8,54059,0.001383710426628776
S,FLAT,1000,2,9-16,35251,0.006365600942615103
S,FLAT,1000,2,17-32,22346,0.03220014470570796
S,FLAT,1000,2,33-64,14191,0.17247096049542843
S,FLAT,1000,2,65-128,8994,0.5975988658237436
S,FLAT,1000,2,129-256,5670,0.9325600921792329
S,FLAT,1000,2,>=257,8646,0.9966330280078938
S,FLAT,30,1,1,97623,-8.54040783806071e-06
S,FLAT,30,1,2,121439,1.9366156182322003e-05
S,FLAT,30,1,3-4,201607,5.842823421619783e-05
S,FLAT,30,1,5-8,190496,0.0001653167914286914
S,FLAT,30,1,9-16,127579,0.00026534761365996755
S,FLAT,30,1,17-32,148530,0.0005705096140089544
S,FLAT,30,1,33-64,65129,0.0016290648594999924
S,FLAT,30,1,65-128,3161,0.0016539928770563112
S,FLAT,30,1,129-256,1317,0.0005151608176727411
S,FLAT,30,1,>=257,727,0.001131375193431912
S,FLAT,30,2,1,97756,-4.9779153581365845e-05
S,FLAT,30,2,2,121388,5.242905239809535e-05
S,FLAT,30,2,3-4,201611,-1.0983306807416278e-06
S,FLAT,30,2,5-8,190010,7.689510996131783e-05
S,FLAT,30,2,9-16,127646,-9.115634009291326e-06
S,FLAT,30,2,17-32,148079,5.299806448331632e-05
S,FLAT,30,2,33-64,65531,4.5798487786314864e-05
S,FLAT,30,2,65-128,3210,-0.000244140625
S,FLAT,30,2,129-256,1296,0.0005274643132716049
S,FLAT,30,2,>=257,723,-0.000244140625
S,FLAT,300,1,1,240912,9.62326233230391e-05
S,FLAT,300,1,2,131123,0.00040410567808946563
S,FLAT,300,1,3-4,112810,0.00068662792388751
S,FLAT,300,1,5-8,76959,0.0018478824002472094
S,FLAT,300,1,9-16,49645,0.008054781723675597
S,FLAT,300,1,17-32,31813,0.04074539195602034
S,FLAT,300,1,33-64,20148,0.20751841645262556
S,FLAT,300,1,65-128,12644,0.6407713607986001
S,FLAT,300,1,129-256,8057,0.9421661857992274
S,FLAT,300,1,>=257,12683,0.9916347523813865
S,FLAT,300,2,1,240333,0.00012617889000626217
S,FLAT,300,2,2,130549,0.00038397602085711113
S,FLAT,300,2,3-4,112668,0.0007499304510819398
S,FLAT,300,2,5-8,77231,0.0022160113864979738
S,FLAT,300,2,9-16,49523,0.008681005266807847
S,FLAT,300,2,17-32,31657,0.04593837824918265
S,FLAT,300,2,33-64,20236,0.2233672450243378
S,FLAT,300,2,65-128,12749,0.6591016904205722
S,FLAT,300,2,129-256,7999,0.950999764863186
S,FLAT,300,2,>=257,12683,0.9930539749627947
S,RAW,RAW,1,1,223105,7.409518325172005e-05
S,RAW,RAW,1,2,86478,0.00022996839694777862
S,RAW,RAW,1,3-4,65516,0.0005495586240384028
S,RAW,RAW,1,5-8,43256,0.0018364955873173662
S,RAW,RAW,1,9-16,28153,0.007179579760038895
S,RAW,RAW,1,17-32,18095,0.034406315302051675
S,RAW,RAW,1,33-64,11280,0.1722735898714539
S,RAW,RAW,1,65-128,7208,0.5553884897856548
S,RAW,RAW,1,129-256,4572,0.8683035409148075
S,RAW,RAW,1,>=257,6746,0.9881934520224949
S,RAW,RAW,2,1,222776,2.5188207549287154e-05
S,RAW,RAW,2,2,85908,0.0002796755504434977
S,RAW,RAW,2,3-4,65225,0.0006450889648811805
S,RAW,RAW,2,5-8,43414,0.0016676850533526052
S,RAW,RAW,2,9-16,28145,0.006044720629219222
S,RAW,RAW,2,17-32,17892,0.027533637152777776
S,RAW,RAW,2,33-64,11468,0.15427277601260028
S,RAW,RAW,2,65-128,7182,0.5238438571472083
S,RAW,RAW,2,129-256,4542,0.8654537898021246
S,RAW,RAW,2,>=257,6756,0.9895427155028863
