corpus,c50,c90,c50_seed1,c50_seed2,c50_seed3,c90_seed1,c90_seed2,c90_seed3
Z05_n0,42.993385080605954,93.14205834856745,43.795773368240184,43.967271267522406,41.3937361156459,99.14113984722046,91.58455467761866,90.38120528819525
Z05_n64,48.26126133367878,99.83317714198333,49.71864967949239,44.07928160178792,49.682379311934476,90.65366830336542,109.95450867741444,98.58419019253341
Z10_n0,42.89905723539042,79.81644484750177,41.50031657712317,44.54320037399707,42.922420045235704,79.88724537445916,81.04022714898399,78.54653449437718
Z10_n64,55.951173718769645,85.39337810854823,59.4654676018795,53.28501782403282,54.39406712841675,85.84809603704832,86.52215521990368,83.87057077287974
