model_size,corpus_type,level,tau,n_facts_at_cap,expected_stationary_exposures_at_cap
L,FLAT,15,6.433812320208835e-08,399904,15.000000000000021
L,CURATED,15,6.433812320208835e-08,399904,35.576134127306915
L,FLAT,8,1.0000000000000013e-15,1000000,10.414284999999998
L,CURATED,8,1.0000000000000013e-15,1000000,24.699999999999996
