T,n_corpora,spread_tokens,spread_ieff,not_reached
100,4,40.94993160855568,2.282007025094873,EQ4_n16
200,4,118.67200014413243,1.6595266289244799,EQ4_n16
300,4,230.75416318737206,1.367451973144353,EQ4_n16
