corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot,budget_mult,run
CURATEDF,0.5,0,2,0.0003,423680,5103316,171347,2056164,11.834271754713058,,37.167236328125,446.0068359375,8868.749723205281,0.0003,2.42705512046814,44.32504439353943,51a86202db31,afb8bb51c8f0,11.879857923579216,12.119988449382785,0.0004610527175847,1,L,31524864,34350080,1.4147779858384162e-05,1.2984157123869872e-05,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.00383,11.646579171180726,base,0.1,constant,0,0.0005,0.0,1,CURATEDF_seed2_L_base_15
CURATEDF,0.5,0,2,0.0003,956800,11525059,488067,5856804,11.967510647788048,,72.843017578125,874.1162109375,7868.302510814523,0.00035,2.3901188373565674,95.50567412376404,51a86202db31,afb8bb51c8f0,12.02249904038906,12.033132678842543,0.000393388612629,1,L,31524864,34350080,2.772783447812812e-05,2.544728311950074e-05,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.000345,11.93419634914398,base,0.1,constant,0,0.001,0.0005,1,CURATEDF_seed2_L_base_15
CURATEDF,0.5,0,2,0.0003,2160896,26032521,795006,9540072,11.888199967594147,,354.90673828125,4258.880859375,36342.123386366846,0.00035,2.385626077651977,205.7543065547943,51a86202db31,afb8bb51c8f0,12.010075429725648,12.041188199710843,0.000690560825956,1,L,31524864,34350080,0.0001350959312425,0.0001239845979798,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.002095,11.851458449363708,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed2_L_base_15
CURATEDF,0.5,0,2,0.0003,4881024,58800778,951281,11415372,11.288460459371208,,8213.753662109375,98565.0439453125,419720.87847068027,0.00015,2.3917460441589355,445.1942937374115,51a86202db31,afb8bb51c8f0,11.401108447695671,12.403862870383264,0.0088785542862729,1,L,31524864,34350080,0.0031265810994557,0.0028694269109507,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.01885,11.246078023433686,base,0.1,constant,0,0.9985,0.984,1,CURATEDF_seed2_L_base_15
CURATEDF,0.5,0,2,0.0003,11024384,132815010,995340,11944080,8.932630850725323,,168054.9970703125,2016659.96484375,1888251.129767138,0.0,2.190516471862793,976.1578781604768,51a86202db31,afb8bb51c8f0,9.014620729898214,12.413256848844371,0.1690859404826491,1,L,31524864,34350080,0.0639704572506244,0.0587090325508339,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.299165,8.860181032180787,base,0.1,constant,0,0.0,0.0005,1,CURATEDF_seed2_L_base_15
CURATEDF,0.5,0,2,0.0003,24901760,300001013,997993,11975916,8.12541739758961,,242364.3493652344,2908372.1923828125,2364288.060391437,0.0,2.192982912063598,2161.38605260849,51a86202db31,afb8bb51c8f0,8.199569236676469,12.273668697902137,0.2430958934581705,1,L,31524864,34350080,0.0922564548536295,0.0846685711469321,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.41936,8.087249416351318,base,0.1,constant,0,0.0005,0.0,1,CURATEDF_seed2_L_base_15
CURATEDF,0.5,0,3,0.0003,83072,1000430,29062,348744,8.6149235569264,,999.90478515625,11998.857421875,25147.286802958108,0.00025,2.1870949268341064,8.003320932388306,51a86202db31,7d09c3c2c0e0,8.704184596223087,12.720858024549484,0.03465005849563,1,L,31524864,34350080,0.0003806156759907,0.000349310901805,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.26956,4.135460834503174,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,3,0.0003,187520,2258949,49356,592272,5.0412739368878565,,5059.9501953125,60719.40234375,92779.66224685192,0.00025,1.7960423231124878,18.19571042060852,51a86202db31,7d09c3c2c0e0,5.09602963911376,12.686145735681055,0.1027635951049517,1,L,31524864,34350080,0.0019260797554511,0.0017676640736717,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.577585,0.1016493553994223,base,0.1,constant,0,0.0,0.001,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,3,0.0003,423680,5103645,159025,1908300,11.018921569948196,,818.175537109375,9818.1064453125,34737.04148988724,0.0003,2.3656458854675293,39.786924839019775,51a86202db31,7d09c3c2c0e0,11.06366015427351,12.217234936666488,0.0053890897657601,1,L,31524864,34350080,0.0003114400888553,0.0002858248494708,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.0977,10.251070952892304,base,0.1,constant,0,0.0,0.0005,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,3,0.0003,956672,11525473,407600,4891200,11.108974003145695,,1194.48828125,14333.859375,92900.9317614746,0.00025,2.3671867847442627,87.67828631401062,51a86202db31,7d09c3c2c0e0,11.169104477944376,12.203449943351746,0.0031746810598626,1,L,31524864,34350080,0.0004546842573214,0.0004172875106841,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.036925,10.5577242102623,base,0.1,constant,0,0.0,0.0005,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,3,0.0003,2161024,26032537,650413,7804956,9.441263592573106,,34060.207763671875,408722.4931640625,595732.4299189058,0.00035,2.334182977676392,189.8974297046661,51a86202db31,7d09c3c2c0e0,9.534978616667988,12.426400923776626,0.0526111870457693,1,L,31524864,34350080,0.0129650834707506,0.0118987348257722,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.21726,8.939766858696938,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,3,0.0003,4881024,58800005,844171,10130052,5.447484658616874,,177687.90356445312,2132254.842773437,2107824.6118696323,5e-05,2.116701364517212,415.351277589798,51a86202db31,7d09c3c2c0e0,5.5487419046187405,12.71943501648903,0.2107321857775261,1,L,31524864,34350080,0.0676372415999459,0.0620742322222666,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.649465,5.134482790779322,base,0.1,constant,0,0.987,0.988,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,3,0.0003,11024896,132816016,967239,11606868,2.259498358639612,,301126.8576660156,3613522.291992188,3568200.578004422,0.00015,1.900152444839477,917.3386845588684,51a86202db31,7d09c3c2c0e0,2.318082753365009,12.995804605722428,0.3115703564475791,1,L,31524864,34350080,0.1146245164449301,0.1051969105164292,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.914895,1.9494801874905825,base,0.1,constant,0,0.0015,0.0015,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,3,0.0003,24903296,300000701,996641,11959692,1.0007142754383478,,353572.6794433594,4242872.1533203125,4358414.239643736,0.0,1.851915955543518,2033.12676525116,51a86202db31,7d09c3c2c0e0,1.0304007000172768,12.981084146071568,0.3550084734623601,1,L,31524864,34350080,0.1345881191849174,0.1235185523096398,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.963875,0.7307228009169922,base,0.1,constant,0,0.001,0.001,1,CURATEDF_seed3_L_base
CURATEDF,0.5,0,4,0.0003,83072,1000779,28979,347748,8.23641412991941,,1201.925048828125,14423.1005859375,28647.831618729186,0.00025,2.0725605487823486,9.034017562866213,51a86202db31,2499d58d2207,8.326529112796038,12.674055260682106,0.0417198661099416,1,L,31524864,34350080,0.0004575150771764,0.0004198855020406,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.30251,3.331628097116947,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed4_L_base
CURATEDF,0.5,0,4,0.0003,187520,2259126,49225,590700,4.962169227946119,,5236.982177734375,62843.7861328125,96185.61600904111,0.0002,1.700063943862915,20.305846691131592,51a86202db31,2499d58d2207,5.014433502661828,12.742213315439225,0.1066328085322498,1,L,31524864,34350080,0.0019934673194089,0.0018295091636704,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.583915,0.0837051776456646,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed4_L_base
CURATEDF,0.5,0,4,0.0003,423552,5102755,158989,1907868,10.81473616105914,,1303.184326171875,15638.2119140625,37498.01733842168,0.00025,2.434335708618164,42.963457107543945,51a86202db31,2499d58d2207,10.853627186591623,12.188075573062896,0.008440835529502,1,L,31524864,34350080,0.0004960596154851,0.0004552598396877,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.167215,9.922458303451538,base,0.1,constant,0,0.0005,0.0005,1,CURATEDF_seed4_L_base
CURATEDF,0.5,0,4,0.0003,956672,11525560,408423,4901076,10.991072873404026,,1654.287353515625,19851.4482421875,106769.34320305112,0.0002,2.3899617195129395,92.43796253204346,51a86202db31,2499d58d2207,11.083625881526473,12.207706855773926,0.0042945671521927,1,L,31524864,34350080,0.0006297076568573,0.0005779156334479,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.05303,10.45166017627716,base,0.1,constant,0,0.0,0.001,1,CURATEDF_seed4_L_base
CURATEDF,0.5,0,4,0.0003,2161024,26031875,650568,7806816,9.112716956368386,,41657.169921875,499886.0390625,682828.3445430339,0.00025,2.2692904472351074,199.5660798549652,51a86202db31,2499d58d2207,9.235876354175508,12.455094681811334,0.0642761402343798,1,L,31524864,34350080,0.0158568817001875,0.0145526892240862,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.252285,8.558434667825699,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed4_L_base
CURATEDF,0.5,0,4,0.0003,4881536,58800588,844658,10135896,5.36441841830872,,180744.78466796875,2168937.416015625,2134279.0255354485,0.00015,2.1048169136047363,435.5873191356659,51a86202db31,2499d58d2207,5.4545601437424684,12.738872043776512,0.2142299013328471,1,L,31524864,34350080,0.0688008492603052,0.0631421357975185,,,,,,,,300000000,,CURATED,30,2.6046921207e-07,156849.0,0.656445,5.037519908580929,base,0.1,constant,0,0.994,0.9905,1,CURATEDF_seed4_L_base
