run,model_size,setting,corpus_type,seed,window,n_facts,frac_stored
FLAT_seed4_S_base,S,base,FLAT,4,last_third,19,0.15765059621710525
FLAT_seed5_L_base,L,base,FLAT,5,early_third,2,-0.000244140625
FLAT_seed5_L_base,L,base,FLAT,5,last_third,32,0.937255859375
FLAT_seed5_M_base,M,base,FLAT,5,early_third,3,-0.000244140625
FLAT_seed5_M_base,M,base,FLAT,5,last_third,16,0.749755859375
FLAT_seed5_S_base,S,base,FLAT,5,early_third,3,-0.000244140625
FLAT_seed5_S_base,S,base,FLAT,5,last_third,19,0.21028217516447367
RAW_seed1_L_base,L,base,RAW,1,early_third,3,-0.000244140625
RAW_seed1_L_base,L,base,RAW,1,last_third,1,0.999755859375
RAW_seed1_L_cosine,L,cosine,RAW,1,early_third,3,0.999755859375
RAW_seed1_L_cosine,L,cosine,RAW,1,last_third,1,0.999755859375
RAW_seed1_M_base,M,base,RAW,1,early_third,3,-0.000244140625
RAW_seed1_M_base,M,base,RAW,1,last_third,1,0.999755859375
RAW_seed1_M_cosine,M,cosine,RAW,1,early_third,3,-0.000244140625
RAW_seed1_M_cosine,M,cosine,RAW,1,last_third,1,0.999755859375
RAW_seed1_S_base,S,base,RAW,1,early_third,3,-0.000244140625
RAW_seed1_S_base,S,base,RAW,1,last_third,1,-0.000244140625
RAW_seed1_S_cosine,S,cosine,RAW,1,early_third,3,-0.000244140625
RAW_seed1_S_cosine,S,cosine,RAW,1,last_third,1,0.999755859375
RAW_seed2_L_base,L,base,RAW,2,early_third,2,-0.000244140625
RAW_seed2_L_base,L,base,RAW,2,last_third,2,0.999755859375
RAW_seed2_L_cosine,L,cosine,RAW,2,early_third,2,0.499755859375
RAW_seed2_L_cosine,L,cosine,RAW,2,last_third,2,0.999755859375
RAW_seed2_M_base,M,base,RAW,2,early_third,2,-0.000244140625
RAW_seed2_M_base,M,base,RAW,2,last_third,2,0.499755859375
