zipf_a,T_facts,tokens_n0,tokens_n64,ratio_n64_over_n0
0.5,1000,5769770.014640955,47785367.627324656,8.282022941307527
0.5,2000,18441820.59712494,180364118.96072763,9.780168829364179
0.5,3000,55221533.28309431,419202522.0290376,7.591287258902924
1.0,1000,,,
1.0,2000,,,
1.0,3000,,,
